losses/all_loss,returns/int_advantages,charts/time_per_it,charts/iqm_upper,losses/clipfrac,returns/ext_advantages,losses/approx_kl,losses/int_value_loss,losses/policy_loss,losses/entropy,charts/iqm_lower,_runtime,rewards/rewards_mean,charts/iterations,returns/values_int,losses/ext_value_loss,rewards/intrinsic_rewards_mean,losses/old_approx_kl,returns/ret_int,charts/max_traj_len,losses/fwd_loss,charts/SPS,charts/game_score,returns/values_ext,returns/advantages,rewards/rewards_min,charts/iqm,charts/game_score_upper,rewards/intrinsic_rewards_min,charts/learning_rate,_timestamp,charts/traj_len,charts/game_score_lower,rewards/intrinsic_rewards_max,charts/min_traj_len,rewards/rewards_max,charts/episode_return,charts/max_game_score,charts/min_game_score,_step,returns/ret_ext,rewards/num_envs_with_pos_rews
,,,,,,,,,,,3690,,,,,,,,,,,,,,,,,,,1732315918.0,,,,,,400.0,,,4837248.0,,
,,,,,,,,,,,3729,,,,,,,,,,,,,,,,,,,1732315957.0,,,,,,270.0,,,4907008.0,,
,,,,,,,,,,,3774,,,,,,,,,,,,,,,,,,,1732316002.0,,,,,,330.0,,,4981504.0,,
,,,,,,,,,,,3794,,,,,,,,,,,,,,,,,,,1732316022.0,,,,,,390.0,,,5015424.0,,
,,,,,,,,,,,3816,,,,,,,,,,,,,,,,,,,1732316044.0,,,,,,320.0,,,5059840.0,,
,,,,,,,,,,,3841,,,,,,,,,,,,,,,,,,,1732316069.0,,,,,,140.0,,,5099136.0,,
,,,,,,,,,,,3854,,,,,,,,,,,,,,,,,,,1732316082.0,,,,,,370.0,,,5127296.0,,
,,,,,,,,,,,3872,,,,,,,,,,,,,,,,,,,1732316100.0,,,,,,290.0,,,5157632.0,,
,,,,,,,,,,,3901,,,,,,,,,,,,,,,,,,,1732316129.0,,,,,,290.0,,,5207808.0,,
,,,,,,,,,,,3947,,,,,,,,,,,,,,,,,,,1732316175.0,,,,,,310.0,,,5287168.0,,
,,,,,,,,,,,3986,,,,,,,,,,,,,,,,,,,1732316214.0,,,,,,300.0,,,5355776.0,,
,,,,,,,,,,,4048,,,,,,,,,,,,,,,,,,,1732316276.0,,,,,,830.0,,,5458048.0,,
,,,,,,,,,,,4059,,,,,,,,,,,,,,,,,,,1732316287.0,,,,,,890.0,,,5479040.0,,
,,,,,,,,,,,4117,,,,,,,,,,,,,,,,,,,1732316345.0,,,,,,890.0,,,5580928.0,,
,,,,,,,,,,,4136,,,,,,,,,,,,,,,,,,,1732316364.0,,,,,,420.0,,,5613952.0,,
,,,,,,,,,,,4144,,,,,,,,,,,,,,,,,,,1732316372.0,,,,,,410.0,,,5626624.0,,
0.08102110028266907,0.010643471032381058,9.174305438995361,0.02411957510253772,0.0959320068359375,-0.0007299567223526537,0.0006067153299227357,0.0029309026431292295,-0.0011497605592012405,1.657112717628479,0.02112983521500312,4161,0.004987562540918589,345.0,1.020923376083374,0.009416515938937664,0.010870830155909061,0.0006023631431162357,1.031566858291626,869.0,0.07765426486730576,1361.0,402.265625,0.4103507697582245,0.009183557704091072,0.0,0.022692357860258847,426.724609375,0.0006227631820365787,0.0001,1732316389.0,667.1953125,380.619140625,0.2227954864501953,0.0,0.09161011874675751,,1000.0,0.0,5652480.0,0.40962082147598267,99.0
,,,,,,,,,,,4212,,,,,,,,,,,,,,,,,,,1732316440.0,,,,,,360.0,,,5745408.0,,
,,,,,,,,,,,4345,,,,,,,,,,,,,,,,,,,1732316573.0,,,,,,410.0,,,5979648.0,,
,,,,,,,,,,,4360,,,,,,,,,,,,,,,,,,,1732316588.0,,,,,,900.0,,,5997696.0,,
,,,,,,,,,,,4362,,,,,,,,,,,,,,,,,,,1732316590.0,,,,,,450.0,,,6005120.0,,
,,,,,,,,,,,4420,,,,,,,,,,,,,,,,,,,1732316648.0,,,,,,1010.0,,,6108800.0,,
,,,,,,,,,,,4605,,,,,,,,,,,,,,,,,,,1732316833.0,,,,,,500.0,,,6424960.0,,
,,,,,,,,,,,4607,,,,,,,,,,,,,,,,,,,1732316835.0,,,,,,450.0,,,6429952.0,,
