"Step","Score","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MIN","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MAX"
"3653632","1542.1875","1542.1875","1542.1875"
"3670016","1542.1875","1542.1875","1542.1875"
"3686400","1512.5","1512.5","1512.5"
"3702784","1523.4375","1523.4375","1523.4375"
"3719168","1514.84375","1514.84375","1514.84375"
"3735552","1499.21875","1499.21875","1499.21875"
"3751936","1497.65625","1497.65625","1497.65625"
"3768320","1510.15625","1510.15625","1510.15625"
"3784704","1494.53125","1494.53125","1494.53125"
"3801088","1464.84375","1464.84375","1464.84375"
"3817472","1468.75","1468.75","1468.75"
"3833856","1558.59375","1558.59375","1558.59375"
"3850240","1612.5","1612.5","1612.5"
"3866624","1632.03125","1632.03125","1632.03125"
"3883008","1607.8125","1607.8125","1607.8125"
"3899392","1593.75","1593.75","1593.75"
"3915776","1582.03125","1582.03125","1582.03125"
"3932160","1635.15625","1635.15625","1635.15625"
"3948544","1622.65625","1622.65625","1622.65625"
"3964928","1550.78125","1550.78125","1550.78125"
"3981312","1444.53125","1444.53125","1444.53125"
"3997696","1445.3125","1445.3125","1445.3125"
"4014080","1500.78125","1500.78125","1500.78125"
"4030464","1487.5","1487.5","1487.5"
"4046848","1463.28125","1463.28125","1463.28125"
"4063232","1449.21875","1449.21875","1449.21875"
"4079616","1469.53125","1469.53125","1469.53125"
"4096000","1453.125","1453.125","1453.125"
"4112384","1466.40625","1466.40625","1466.40625"
"4128768","1434.375","1434.375","1434.375"
"4145152","1457.03125","1457.03125","1457.03125"
"4161536","1460.15625","1460.15625","1460.15625"
"4177920","1446.875","1446.875","1446.875"
"4194304","1437.5","1437.5","1437.5"
"4210688","1435.9375","1435.9375","1435.9375"
"4227072","1488.28125","1488.28125","1488.28125"
"4243456","1470.3125","1470.3125","1470.3125"
"4259840","1510.9375","1510.9375","1510.9375"
"4276224","1475.78125","1475.78125","1475.78125"
"4292608","1517.1875","1517.1875","1517.1875"
"4308992","1557.8125","1557.8125","1557.8125"
"4325376","1551.5625","1551.5625","1551.5625"
"4341760","1536.71875","1536.71875","1536.71875"
"4358144","1507.03125","1507.03125","1507.03125"
"4374528","1492.96875","1492.96875","1492.96875"
"4390912","1442.96875","1442.96875","1442.96875"
"4407296","1465.625","1465.625","1465.625"
"4423680","1460.15625","1460.15625","1460.15625"
"4440064","1436.71875","1436.71875","1436.71875"
"4456448","1445.3125","1445.3125","1445.3125"
"4472832","1479.6875","1479.6875","1479.6875"
"4489216","1475","1475","1475"
"4505600","1489.84375","1489.84375","1489.84375"
"4521984","1528.125","1528.125","1528.125"
"4538368","1511.71875","1511.71875","1511.71875"
"4554752","1535.9375","1535.9375","1535.9375"
"4571136","1560.15625","1560.15625","1560.15625"
"4587520","1539.0625","1539.0625","1539.0625"
"4603904","1549.21875","1549.21875","1549.21875"
"4620288","1547.65625","1547.65625","1547.65625"
"4636672","1542.96875","1542.96875","1542.96875"
"4653056","1555.46875","1555.46875","1555.46875"
"4669440","1598.4375","1598.4375","1598.4375"
"4685824","1650.78125","1650.78125","1650.78125"
"4702208","1628.90625","1628.90625","1628.90625"
"4718592","1637.5","1637.5","1637.5"
"4734976","1623.4375","1623.4375","1623.4375"
"4751360","1641.40625","1641.40625","1641.40625"
"4767744","1617.96875","1617.96875","1617.96875"
"4784128","1659.375","1659.375","1659.375"
"4800512","1635.9375","1635.9375","1635.9375"
"4816896","1573.4375","1573.4375","1573.4375"
"4833280","1571.09375","1571.09375","1571.09375"
"4849664","1542.96875","1542.96875","1542.96875"
"4866048","1521.875","1521.875","1521.875"
"4882432","1560.9375","1560.9375","1560.9375"
"4898816","1612.5","1612.5","1612.5"
"4915200","1573.4375","1573.4375","1573.4375"
"4931584","1552.34375","1552.34375","1552.34375"
"4947968","1539.84375","1539.84375","1539.84375"
"4964352","1575.78125","1575.78125","1575.78125"
"4980736","1590.625","1590.625","1590.625"
"4997120","1666.40625","1666.40625","1666.40625"
"5013504","1642.1875","1642.1875","1642.1875"
"5029888","1604.6875","1604.6875","1604.6875"
"5046272","1673.4375","1673.4375","1673.4375"
"5062656","1686.71875","1686.71875","1686.71875"
"5079040","1724.21875","1724.21875","1724.21875"
"5095424","1696.09375","1696.09375","1696.09375"
"5111808","1754.6875","1754.6875","1754.6875"
"5128192","1715.625","1715.625","1715.625"
"5144576","1755.46875","1755.46875","1755.46875"
"5160960","1768.75","1768.75","1768.75"
"5177344","1717.1875","1717.1875","1717.1875"
"5193728","1725.78125","1725.78125","1725.78125"
"5210112","1721.09375","1721.09375","1721.09375"
"5226496","1661.71875","1661.71875","1661.71875"
"5242880","1675.78125","1675.78125","1675.78125"
"5259264","1694.53125","1694.53125","1694.53125"
"5275648","1686.71875","1686.71875","1686.71875"
"5292032","1678.90625","1678.90625","1678.90625"
"5308416","1695.3125","1695.3125","1695.3125"
"5324800","1657.03125","1657.03125","1657.03125"
"5341184","1650","1650","1650"
"5357568","1700.78125","1700.78125","1700.78125"
"5373952","1705.46875","1705.46875","1705.46875"
"5390336","1740.625","1740.625","1740.625"
"5406720","1782.8125","1782.8125","1782.8125"
"5423104","1801.5625","1801.5625","1801.5625"
"5439488","1832.8125","1832.8125","1832.8125"
"5455872","1848.4375","1848.4375","1848.4375"
"5472256","1882.8125","1882.8125","1882.8125"
"5488640","1854.6875","1854.6875","1854.6875"
"5505024","1793.75","1793.75","1793.75"
"5521408","1767.96875","1767.96875","1767.96875"
"5537792","1735.9375","1735.9375","1735.9375"
"5554176","1766.40625","1766.40625","1766.40625"
"5570560","1796.09375","1796.09375","1796.09375"
"5586944","1789.84375","1789.84375","1789.84375"
"5603328","1795.3125","1795.3125","1795.3125"
"5619712","1796.09375","1796.09375","1796.09375"
"5636096","1837.5","1837.5","1837.5"
"5652480","1844.53125","1844.53125","1844.53125"
"5668864","1844.53125","1844.53125","1844.53125"
"5685248","1793.75","1793.75","1793.75"
"5701632","1797.65625","1797.65625","1797.65625"
"5718016","1785.9375","1785.9375","1785.9375"
"5734400","1752.34375","1752.34375","1752.34375"
"5750784","1735.15625","1735.15625","1735.15625"
"5767168","1707.03125","1707.03125","1707.03125"
"5783552","1666.40625","1666.40625","1666.40625"
"5799936","1675.78125","1675.78125","1675.78125"
"5816320","1732.03125","1732.03125","1732.03125"
"5832704","1709.375","1709.375","1709.375"
"5849088","1732.8125","1732.8125","1732.8125"
"5865472","1728.125","1728.125","1728.125"
"5881856","1694.53125","1694.53125","1694.53125"
"5898240","1769.53125","1769.53125","1769.53125"
