"Step","Score","StarGunner-v5__ppo_rle_SwitchStep500 - charts/game_score__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - charts/game_score__MAX"
"4177920","3121.09375","3121.09375","3121.09375"
"4194304","3178.125","3178.125","3178.125"
"4210688","3198.4375","3198.4375","3198.4375"
"4227072","3292.1875","3292.1875","3292.1875"
"4243456","3342.1875","3342.1875","3342.1875"
"4259840","3399.21875","3399.21875","3399.21875"
"4276224","3510.9375","3510.9375","3510.9375"
"4292608","3545.3125","3545.3125","3545.3125"
"4308992","3540.625","3540.625","3540.625"
"4325376","3611.71875","3611.71875","3611.71875"
"4341760","3626.5625","3626.5625","3626.5625"
"4358144","3584.375","3584.375","3584.375"
"4374528","3585.9375","3585.9375","3585.9375"
"4390912","3654.6875","3654.6875","3654.6875"
"4407296","3557.03125","3557.03125","3557.03125"
"4423680","3539.84375","3539.84375","3539.84375"
"4440064","3621.875","3621.875","3621.875"
"4456448","3621.875","3621.875","3621.875"
"4472832","3681.25","3681.25","3681.25"
"4489216","3695.3125","3695.3125","3695.3125"
"4505600","3688.28125","3688.28125","3688.28125"
"4521984","3717.1875","3717.1875","3717.1875"
"4538368","3700.78125","3700.78125","3700.78125"
"4554752","3848.4375","3848.4375","3848.4375"
"4571136","4048.4375","4048.4375","4048.4375"
"4587520","3993.75","3993.75","3993.75"
"4603904","3946.875","3946.875","3946.875"
"4620288","3925","3925","3925"
"4636672","3928.125","3928.125","3928.125"
"4653056","4019.53125","4019.53125","4019.53125"
"4669440","3953.125","3953.125","3953.125"
"4685824","3965.625","3965.625","3965.625"
"4702208","4067.96875","4067.96875","4067.96875"
"4718592","3982.03125","3982.03125","3982.03125"
"4734976","4048.4375","4048.4375","4048.4375"
"4751360","4062.5","4062.5","4062.5"
"4767744","4060.9375","4060.9375","4060.9375"
"4784128","4048.4375","4048.4375","4048.4375"
"4800512","4153.90625","4153.90625","4153.90625"
"4816896","4381.25","4381.25","4381.25"
"4833280","4451.5625","4451.5625","4451.5625"
"4849664","4428.125","4428.125","4428.125"
"4866048","4442.1875","4442.1875","4442.1875"
"4882432","4448.4375","4448.4375","4448.4375"
"4898816","4442.1875","4442.1875","4442.1875"
"4915200","4496.09375","4496.09375","4496.09375"
"4931584","4562.5","4562.5","4562.5"
"4947968","4633.59375","4633.59375","4633.59375"
"4964352","4657.8125","4657.8125","4657.8125"
"4980736","4678.125","4678.125","4678.125"
"4997120","4508.59375","4508.59375","4508.59375"
"5013504","4737.5","4737.5","4737.5"
"5029888","4781.25","4781.25","4781.25"
"5046272","4818.75","4818.75","4818.75"
"5062656","4835.15625","4835.15625","4835.15625"
"5079040","4884.375","4884.375","4884.375"
"5095424","5007.03125","5007.03125","5007.03125"
"5111808","5020.3125","5020.3125","5020.3125"
"5128192","5021.09375","5021.09375","5021.09375"
"5144576","4963.28125","4963.28125","4963.28125"
"5160960","5154.6875","5154.6875","5154.6875"
"5177344","5270.3125","5270.3125","5270.3125"
"5193728","5539.0625","5539.0625","5539.0625"
"5210112","5592.1875","5592.1875","5592.1875"
"5226496","5568.75","5568.75","5568.75"
"5242880","5642.96875","5642.96875","5642.96875"
"5259264","5660.9375","5660.9375","5660.9375"
"5275648","5650.78125","5650.78125","5650.78125"
"5292032","5807.8125","5807.8125","5807.8125"
"5308416","5931.25","5931.25","5931.25"
"5324800","5888.28125","5888.28125","5888.28125"
"5341184","5738.28125","5738.28125","5738.28125"
"5357568","5531.25","5531.25","5531.25"
"5373952","5528.125","5528.125","5528.125"
"5390336","5525.78125","5525.78125","5525.78125"
"5406720","5563.28125","5563.28125","5563.28125"
"5423104","5582.03125","5582.03125","5582.03125"
"5439488","5698.4375","5698.4375","5698.4375"
"5455872","5673.4375","5673.4375","5673.4375"
"5472256","5630.46875","5630.46875","5630.46875"
"5488640","5856.25","5856.25","5856.25"
"5505024","5795.3125","5795.3125","5795.3125"
"5521408","5802.34375","5802.34375","5802.34375"
"5537792","6024.21875","6024.21875","6024.21875"
"5554176","6005.46875","6005.46875","6005.46875"
"5570560","5928.125","5928.125","5928.125"
"5586944","6049.21875","6049.21875","6049.21875"
"5603328","5927.34375","5927.34375","5927.34375"
"5619712","5917.1875","5917.1875","5917.1875"
"5636096","5895.3125","5895.3125","5895.3125"
"5652480","5782.8125","5782.8125","5782.8125"
"5668864","5875","5875","5875"
"5685248","6382.8125","6382.8125","6382.8125"
"5701632","6361.71875","6361.71875","6361.71875"
"5718016","6394.53125","6394.53125","6394.53125"
"5734400","6420.3125","6420.3125","6420.3125"
"5750784","6265.625","6265.625","6265.625"
"5767168","6524.21875","6524.21875","6524.21875"
"5783552","6503.90625","6503.90625","6503.90625"
"5799936","6457.03125","6457.03125","6457.03125"
"5816320","6544.53125","6544.53125","6544.53125"
"5832704","6504.6875","6504.6875","6504.6875"
"5849088","6088.28125","6088.28125","6088.28125"
"5865472","6224.21875","6224.21875","6224.21875"
"5881856","6212.5","6212.5","6212.5"
"5898240","6229.6875","6229.6875","6229.6875"
"5914624","6534.375","6534.375","6534.375"
"5931008","6465.625","6465.625","6465.625"
"5947392","6510.15625","6510.15625","6510.15625"
"5963776","6629.6875","6629.6875","6629.6875"
"5980160","6576.5625","6576.5625","6576.5625"
"5996544","6590.625","6590.625","6590.625"
"6012928","6607.8125","6607.8125","6607.8125"
"6029312","6526.5625","6526.5625","6526.5625"
"6045696","6552.34375","6552.34375","6552.34375"
"6062080","6664.0625","6664.0625","6664.0625"
"6078464","6705.46875","6705.46875","6705.46875"
"6094848","6642.96875","6642.96875","6642.96875"
"6111232","6775.78125","6775.78125","6775.78125"
"6127616","6835.9375","6835.9375","6835.9375"
"6144000","6921.09375","6921.09375","6921.09375"
"6160384","6736.71875","6736.71875","6736.71875"
"6176768","7010.9375","7010.9375","7010.9375"
"6193152","6968.75","6968.75","6968.75"
"6209536","7158.59375","7158.59375","7158.59375"
"6225920","7462.5","7462.5","7462.5"
"6242304","7357.8125","7357.8125","7357.8125"
"6258688","7571.875","7571.875","7571.875"
"6275072","7434.375","7434.375","7434.375"
"6291456","7500","7500","7500"
"6307840","7667.1875","7667.1875","7667.1875"
"6324224","7538.28125","7538.28125","7538.28125"
"6340608","7754.6875","7754.6875","7754.6875"
"6356992","7913.28125","7913.28125","7913.28125"
"6373376","7782.03125","7782.03125","7782.03125"
"6389760","7928.90625","7928.90625","7928.90625"
"6406144","7523.4375","7523.4375","7523.4375"
"6422528","7497.65625","7497.65625","7497.65625"
"6438912","7275.78125","7275.78125","7275.78125"
"6455296","7203.125","7203.125","7203.125"
"6471680","7296.09375","7296.09375","7296.09375"
"6488064","7091.40625","7091.40625","7091.40625"
"6504448","7349.21875","7349.21875","7349.21875"
"6520832","7383.59375","7383.59375","7383.59375"
"6537216","7316.40625","7316.40625","7316.40625"
"6553600","7410.15625","7410.15625","7410.15625"
"6569984","7523.4375","7523.4375","7523.4375"
"6586368","7392.96875","7392.96875","7392.96875"
"6602752","7567.1875","7567.1875","7567.1875"
"6619136","7633.59375","7633.59375","7633.59375"
"6635520","7717.1875","7717.1875","7717.1875"
"6651904","7768.75","7768.75","7768.75"
"6668288","7810.15625","7810.15625","7810.15625"
"6684672","7817.96875","7817.96875","7817.96875"
"6701056","7645.3125","7645.3125","7645.3125"
"6717440","7483.59375","7483.59375","7483.59375"
"6733824","7605.46875","7605.46875","7605.46875"
"6750208","7737.5","7737.5","7737.5"
"6766592","7781.25","7781.25","7781.25"
"6782976","7898.4375","7898.4375","7898.4375"
"6799360","7857.8125","7857.8125","7857.8125"
"6815744","7749.21875","7749.21875","7749.21875"
"6832128","7877.34375","7877.34375","7877.34375"
"6848512","7803.90625","7803.90625","7803.90625"
"6864896","8016.40625","8016.40625","8016.40625"
"6881280","8264.0625","8264.0625","8264.0625"
"6897664","8233.59375","8233.59375","8233.59375"
"6914048","8216.40625","8216.40625","8216.40625"
"6930432","8400.78125","8400.78125","8400.78125"
"6946816","8442.96875","8442.96875","8442.96875"
"6963200","8419.53125","8419.53125","8419.53125"
"6979584","8285.15625","8285.15625","8285.15625"
"6995968","8543.75","8543.75","8543.75"
"7012352","8985.9375","8985.9375","8985.9375"
"7028736","9191.40625","9191.40625","9191.40625"
"7045120","9315.625","9315.625","9315.625"
"7061504","9197.65625","9197.65625","9197.65625"
"7077888","9167.1875","9167.1875","9167.1875"
"7094272","9598.4375","9598.4375","9598.4375"
"7110656","9353.125","9353.125","9353.125"
"7127040","9367.96875","9367.96875","9367.96875"
"7143424","9454.6875","9454.6875","9454.6875"
"7159808","9524.21875","9524.21875","9524.21875"
"7176192","9409.375","9409.375","9409.375"
"7192576","9152.34375","9152.34375","9152.34375"
"7208960","8842.96875","8842.96875","8842.96875"
"7225344","8860.9375","8860.9375","8860.9375"
"7241728","8852.34375","8852.34375","8852.34375"
"7258112","8742.1875","8742.1875","8742.1875"
"7274496","8500","8500","8500"
"7290880","8516.40625","8516.40625","8516.40625"
"7307264","8328.90625","8328.90625","8328.90625"
"7323648","8378.90625","8378.90625","8378.90625"
"7340032","8316.40625","8316.40625","8316.40625"
"7356416","8360.9375","8360.9375","8360.9375"
"7372800","8494.53125","8494.53125","8494.53125"
"7389184","8353.125","8353.125","8353.125"
"7405568","8232.8125","8232.8125","8232.8125"
"7421952","8373.4375","8373.4375","8373.4375"
"7438336","8331.25","8331.25","8331.25"
"7454720","8446.875","8446.875","8446.875"
"7471104","8495.3125","8495.3125","8495.3125"
"7487488","8760.15625","8760.15625","8760.15625"
"7503872","9375.78125","9375.78125","9375.78125"
"7520256","9604.6875","9604.6875","9604.6875"
"7536640","9843.75","9843.75","9843.75"
"7553024","10110.15625","10110.15625","10110.15625"
"7569408","10200","10200","10200"
"7585792","10294.53125","10294.53125","10294.53125"
"7602176","10592.96875","10592.96875","10592.96875"
"7618560","10756.25","10756.25","10756.25"
"7634944","10814.0625","10814.0625","10814.0625"
"7651328","10881.25","10881.25","10881.25"
"7667712","11173.4375","11173.4375","11173.4375"
"7684096","10703.90625","10703.90625","10703.90625"
"7700480","10488.28125","10488.28125","10488.28125"
"7716864","10366.40625","10366.40625","10366.40625"
"7733248","10430.46875","10430.46875","10430.46875"
"7749632","10075","10075","10075"
"7766016","10043.75","10043.75","10043.75"
"7782400","10273.4375","10273.4375","10273.4375"
"7798784","10328.90625","10328.90625","10328.90625"
"7815168","10158.59375","10158.59375","10158.59375"
"7831552","10010.15625","10010.15625","10010.15625"
"7847936","9759.375","9759.375","9759.375"
"7864320","9806.25","9806.25","9806.25"
"7880704","9960.9375","9960.9375","9960.9375"
"7897088","10013.28125","10013.28125","10013.28125"
"7913472","10127.34375","10127.34375","10127.34375"
"7929856","10045.3125","10045.3125","10045.3125"
"7946240","10282.8125","10282.8125","10282.8125"
"7962624","10470.3125","10470.3125","10470.3125"
"7979008","10617.96875","10617.96875","10617.96875"
"7995392","10389.0625","10389.0625","10389.0625"
"8011776","10558.59375","10558.59375","10558.59375"
"8028160","10492.1875","10492.1875","10492.1875"
"8044544","10460.15625","10460.15625","10460.15625"
"8060928","10546.09375","10546.09375","10546.09375"
"8077312","10267.1875","10267.1875","10267.1875"
"8093696","10291.40625","10291.40625","10291.40625"
"8110080","10128.90625","10128.90625","10128.90625"
"8126464","10043.75","10043.75","10043.75"
"8142848","9891.40625","9891.40625","9891.40625"
"8159232","9746.09375","9746.09375","9746.09375"
"8175616","9889.0625","9889.0625","9889.0625"
"8192000","9636.71875","9636.71875","9636.71875"
"8208384","9846.09375","9846.09375","9846.09375"
"8224768","9902.34375","9902.34375","9902.34375"
"8241152","9723.4375","9723.4375","9723.4375"
"8257536","9804.6875","9804.6875","9804.6875"
"8273920","9682.8125","9682.8125","9682.8125"
"8290304","9933.59375","9933.59375","9933.59375"
"8306688","9835.15625","9835.15625","9835.15625"
"8323072","9803.125","9803.125","9803.125"
"8339456","10025","10025","10025"
"8355840","9847.65625","9847.65625","9847.65625"
"8372224","9264.0625","9264.0625","9264.0625"
"8388608","9515.625","9515.625","9515.625"
"8404992","9607.03125","9607.03125","9607.03125"
"8421376","9729.6875","9729.6875","9729.6875"
"8437760","9711.71875","9711.71875","9711.71875"
"8454144","9771.09375","9771.09375","9771.09375"
"8470528","9813.28125","9813.28125","9813.28125"
"8486912","10064.84375","10064.84375","10064.84375"
"8503296","9889.84375","9889.84375","9889.84375"
"8519680","10167.1875","10167.1875","10167.1875"
"8536064","10320.3125","10320.3125","10320.3125"
"8552448","10582.03125","10582.03125","10582.03125"
"8568832","10759.375","10759.375","10759.375"
"8585216","10945.3125","10945.3125","10945.3125"
"8601600","10956.25","10956.25","10956.25"
"8617984","11263.28125","11263.28125","11263.28125"
"8634368","11239.0625","11239.0625","11239.0625"
"8650752","11121.09375","11121.09375","11121.09375"
"8667136","11238.28125","11238.28125","11238.28125"
"8683520","11060.15625","11060.15625","11060.15625"
"8699904","11207.8125","11207.8125","11207.8125"
"8716288","11450","11450","11450"
"8732672","11673.4375","11673.4375","11673.4375"
"8749056","11678.90625","11678.90625","11678.90625"
"8765440","11735.9375","11735.9375","11735.9375"
"8781824","11789.84375","11789.84375","11789.84375"
"8798208","11665.625","11665.625","11665.625"
"8814592","11986.71875","11986.71875","11986.71875"
"8830976","12177.34375","12177.34375","12177.34375"
"8847360","11788.28125","11788.28125","11788.28125"
"8863744","12007.8125","12007.8125","12007.8125"
"8880128","12199.21875","12199.21875","12199.21875"
"8896512","12300","12300","12300"
"8912896","12337.5","12337.5","12337.5"
"8929280","12471.875","12471.875","12471.875"
"8945664","12652.34375","12652.34375","12652.34375"
"8962048","12366.40625","12366.40625","12366.40625"
"8978432","12360.9375","12360.9375","12360.9375"
"8994816","12546.09375","12546.09375","12546.09375"
"9011200","13155.46875","13155.46875","13155.46875"
"9027584","13108.59375","13108.59375","13108.59375"
"9043968","12951.5625","12951.5625","12951.5625"
"9060352","13047.65625","13047.65625","13047.65625"
"9076736","13139.84375","13139.84375","13139.84375"
"9093120","12803.125","12803.125","12803.125"
"9109504","12789.84375","12789.84375","12789.84375"
"9125888","12600.78125","12600.78125","12600.78125"
"9142272","12703.125","12703.125","12703.125"
"9158656","12694.53125","12694.53125","12694.53125"
"9175040","12604.6875","12604.6875","12604.6875"
"9191424","12977.34375","12977.34375","12977.34375"
"9207808","13107.8125","13107.8125","13107.8125"
"9224192","13259.375","13259.375","13259.375"
"9240576","13276.5625","13276.5625","13276.5625"
"9256960","13203.90625","13203.90625","13203.90625"
"9273344","13443.75","13443.75","13443.75"
"9289728","13375","13375","13375"
"9306112","13319.53125","13319.53125","13319.53125"
"9322496","13722.65625","13722.65625","13722.65625"
"9338880","14150","14150","14150"
"9355264","14028.125","14028.125","14028.125"
"9371648","13746.875","13746.875","13746.875"
"9388032","14156.25","14156.25","14156.25"
"9404416","13841.40625","13841.40625","13841.40625"
"9420800","13608.59375","13608.59375","13608.59375"
"9437184","13340.625","13340.625","13340.625"
"9453568","13371.09375","13371.09375","13371.09375"
"9469952","13214.0625","13214.0625","13214.0625"
"9486336","13211.71875","13211.71875","13211.71875"
"9502720","12905.46875","12905.46875","12905.46875"
"9519104","13031.25","13031.25","13031.25"
"9535488","13002.34375","13002.34375","13002.34375"
"9551872","12863.28125","12863.28125","12863.28125"
"9568256","12954.6875","12954.6875","12954.6875"
"9584640","13324.21875","13324.21875","13324.21875"
"9601024","13123.4375","13123.4375","13123.4375"
"9617408","13187.5","13187.5","13187.5"
"9633792","13186.71875","13186.71875","13186.71875"
"9650176","13325","13325","13325"
"9666560","13171.875","13171.875","13171.875"
"9682944","12971.875","12971.875","12971.875"
"9699328","12940.625","12940.625","12940.625"
"9715712","13092.96875","13092.96875","13092.96875"
"9732096","12917.1875","12917.1875","12917.1875"
"9748480","13165.625","13165.625","13165.625"
"9764864","13000.78125","13000.78125","13000.78125"
"9781248","13439.0625","13439.0625","13439.0625"
"9797632","13342.96875","13342.96875","13342.96875"
"9814016","13147.65625","13147.65625","13147.65625"
"9830400","13354.6875","13354.6875","13354.6875"
"9846784","13373.4375","13373.4375","13373.4375"
"9863168","13130.46875","13130.46875","13130.46875"
