"Step","Score","StarGunner-v5__ppo_noisy_net - charts/game_score__MIN","StarGunner-v5__ppo_noisy_net - charts/game_score__MAX"
"3883008","1703.90625","1703.90625","1703.90625"
"3899392","1689.0625","1689.0625","1689.0625"
"3915776","1708.59375","1708.59375","1708.59375"
"3932160","1684.375","1684.375","1684.375"
"3948544","1696.09375","1696.09375","1696.09375"
"3964928","1649.21875","1649.21875","1649.21875"
"3981312","1694.53125","1694.53125","1694.53125"
"3997696","1684.375","1684.375","1684.375"
"4014080","1676.5625","1676.5625","1676.5625"
"4030464","1640.625","1640.625","1640.625"
"4046848","1631.25","1631.25","1631.25"
"4063232","1602.34375","1602.34375","1602.34375"
"4079616","1630.46875","1630.46875","1630.46875"
"4096000","1641.40625","1641.40625","1641.40625"
"4112384","1628.125","1628.125","1628.125"
"4128768","1715.625","1715.625","1715.625"
"4145152","1707.03125","1707.03125","1707.03125"
"4161536","1661.71875","1661.71875","1661.71875"
"4177920","1661.71875","1661.71875","1661.71875"
"4194304","1702.34375","1702.34375","1702.34375"
"4210688","1703.90625","1703.90625","1703.90625"
"4227072","1695.3125","1695.3125","1695.3125"
"4243456","1758.59375","1758.59375","1758.59375"
"4259840","1779.6875","1779.6875","1779.6875"
"4276224","1765.625","1765.625","1765.625"
"4292608","1756.25","1756.25","1756.25"
"4308992","1817.96875","1817.96875","1817.96875"
"4325376","1803.90625","1803.90625","1803.90625"
"4341760","1766.40625","1766.40625","1766.40625"
"4358144","1756.25","1756.25","1756.25"
"4374528","1743.75","1743.75","1743.75"
"4390912","1728.90625","1728.90625","1728.90625"
"4407296","1726.5625","1726.5625","1726.5625"
"4423680","1717.1875","1717.1875","1717.1875"
"4440064","1730.46875","1730.46875","1730.46875"
"4456448","1747.65625","1747.65625","1747.65625"
"4472832","1722.65625","1722.65625","1722.65625"
"4489216","1766.40625","1766.40625","1766.40625"
"4505600","1787.5","1787.5","1787.5"
"4521984","1814.84375","1814.84375","1814.84375"
"4538368","1820.3125","1820.3125","1820.3125"
"4554752","1866.40625","1866.40625","1866.40625"
"4571136","1843.75","1843.75","1843.75"
"4587520","1840.625","1840.625","1840.625"
"4603904","1882.8125","1882.8125","1882.8125"
"4620288","1836.71875","1836.71875","1836.71875"
"4636672","1856.25","1856.25","1856.25"
"4653056","1840.625","1840.625","1840.625"
"4669440","1765.625","1765.625","1765.625"
"4685824","1765.625","1765.625","1765.625"
"4702208","1740.625","1740.625","1740.625"
"4718592","1720.3125","1720.3125","1720.3125"
"4734976","1735.9375","1735.9375","1735.9375"
"4751360","1740.625","1740.625","1740.625"
"4767744","1758.59375","1758.59375","1758.59375"
"4784128","1769.53125","1769.53125","1769.53125"
"4800512","1787.5","1787.5","1787.5"
"4816896","1805.46875","1805.46875","1805.46875"
"4833280","1850.78125","1850.78125","1850.78125"
"4849664","1850","1850","1850"
"4866048","1887.5","1887.5","1887.5"
"4882432","1874.21875","1874.21875","1874.21875"
"4898816","1839.0625","1839.0625","1839.0625"
"4915200","1808.59375","1808.59375","1808.59375"
"4931584","1836.71875","1836.71875","1836.71875"
"4947968","1813.28125","1813.28125","1813.28125"
