"Step","Score","StarGunner-v5__ppo - charts/game_score__MIN","StarGunner-v5__ppo - charts/game_score__MAX"
"7192576","8849.21875","8849.21875","8849.21875"
"7208960","9050.78125","9050.78125","9050.78125"
"7225344","9036.71875","9036.71875","9036.71875"
"7241728","8865.625","8865.625","8865.625"
"7258112","9001.5625","9001.5625","9001.5625"
"7274496","8780.46875","8780.46875","8780.46875"
"7290880","8821.875","8821.875","8821.875"
"7307264","8836.71875","8836.71875","8836.71875"
"7323648","8946.09375","8946.09375","8946.09375"
"7340032","8732.8125","8732.8125","8732.8125"
"7356416","8646.875","8646.875","8646.875"
"7372800","8832.03125","8832.03125","8832.03125"
"7389184","8633.59375","8633.59375","8633.59375"
"7405568","8745.3125","8745.3125","8745.3125"
"7421952","8960.9375","8960.9375","8960.9375"
"7438336","8978.125","8978.125","8978.125"
"7454720","9192.1875","9192.1875","9192.1875"
"7471104","9323.4375","9323.4375","9323.4375"
"7487488","9417.96875","9417.96875","9417.96875"
"7503872","9617.96875","9617.96875","9617.96875"
"7520256","9717.1875","9717.1875","9717.1875"
"7536640","9670.3125","9670.3125","9670.3125"
"7553024","9531.25","9531.25","9531.25"
"7569408","9230.46875","9230.46875","9230.46875"
"7585792","9199.21875","9199.21875","9199.21875"
"7602176","9492.96875","9492.96875","9492.96875"
"7618560","9415.625","9415.625","9415.625"
"7634944","9364.0625","9364.0625","9364.0625"
"7651328","9178.90625","9178.90625","9178.90625"
"7667712","9298.4375","9298.4375","9298.4375"
"7684096","9197.65625","9197.65625","9197.65625"
"7700480","9478.90625","9478.90625","9478.90625"
"7716864","9579.6875","9579.6875","9579.6875"
"7733248","9721.875","9721.875","9721.875"
"7749632","9894.53125","9894.53125","9894.53125"
"7766016","10542.1875","10542.1875","10542.1875"
"7782400","10489.84375","10489.84375","10489.84375"
"7798784","10553.125","10553.125","10553.125"
"7815168","10419.53125","10419.53125","10419.53125"
"7831552","10805.46875","10805.46875","10805.46875"
"7847936","10926.5625","10926.5625","10926.5625"
"7864320","11247.65625","11247.65625","11247.65625"
"7880704","11199.21875","11199.21875","11199.21875"
"7897088","11641.40625","11641.40625","11641.40625"
"7913472","11795.3125","11795.3125","11795.3125"
"7929856","11957.03125","11957.03125","11957.03125"
"7946240","12067.1875","12067.1875","12067.1875"
"7962624","11871.09375","11871.09375","11871.09375"
"7979008","12035.9375","12035.9375","12035.9375"
"7995392","12198.4375","12198.4375","12198.4375"
"8011776","12143.75","12143.75","12143.75"
"8028160","12038.28125","12038.28125","12038.28125"
"8044544","11537.5","11537.5","11537.5"
"8060928","11139.84375","11139.84375","11139.84375"
"8077312","11278.90625","11278.90625","11278.90625"
"8093696","11293.75","11293.75","11293.75"
"8110080","11241.40625","11241.40625","11241.40625"
"8126464","10789.84375","10789.84375","10789.84375"
"8142848","10902.34375","10902.34375","10902.34375"
"8159232","10739.84375","10739.84375","10739.84375"
"8175616","10827.34375","10827.34375","10827.34375"
"8192000","10815.625","10815.625","10815.625"
"8208384","11082.8125","11082.8125","11082.8125"
"8224768","11185.9375","11185.9375","11185.9375"
"8241152","11388.28125","11388.28125","11388.28125"
"8257536","11517.96875","11517.96875","11517.96875"
"8273920","11526.5625","11526.5625","11526.5625"
"8290304","11407.8125","11407.8125","11407.8125"
"8306688","11289.84375","11289.84375","11289.84375"
"8323072","11590.625","11590.625","11590.625"
"8339456","12040.625","12040.625","12040.625"
"8355840","12185.9375","12185.9375","12185.9375"
"8372224","12207.03125","12207.03125","12207.03125"
"8388608","12342.1875","12342.1875","12342.1875"
"8404992","12605.46875","12605.46875","12605.46875"
"8421376","12414.84375","12414.84375","12414.84375"
"8437760","13099.21875","13099.21875","13099.21875"
"8454144","13110.15625","13110.15625","13110.15625"
"8470528","13303.125","13303.125","13303.125"
"8486912","13073.4375","13073.4375","13073.4375"
"8503296","13224.21875","13224.21875","13224.21875"
"8519680","13470.3125","13470.3125","13470.3125"
"8536064","13581.25","13581.25","13581.25"
"8552448","13898.4375","13898.4375","13898.4375"
"8568832","13700","13700","13700"
"8585216","14164.84375","14164.84375","14164.84375"
"8601600","14082.03125","14082.03125","14082.03125"
"8617984","14421.09375","14421.09375","14421.09375"
"8634368","14278.90625","14278.90625","14278.90625"
"8650752","14573.4375","14573.4375","14573.4375"
"8667136","14289.84375","14289.84375","14289.84375"
"8683520","14121.875","14121.875","14121.875"
"8699904","14582.8125","14582.8125","14582.8125"
"8716288","14389.0625","14389.0625","14389.0625"
"8732672","14239.0625","14239.0625","14239.0625"
"8749056","14368.75","14368.75","14368.75"
"8765440","13876.5625","13876.5625","13876.5625"
"8781824","14126.5625","14126.5625","14126.5625"
"8798208","14216.40625","14216.40625","14216.40625"
"8814592","13753.125","13753.125","13753.125"
"8830976","13871.09375","13871.09375","13871.09375"
"8847360","13791.40625","13791.40625","13791.40625"
"8863744","13344.53125","13344.53125","13344.53125"
"8880128","13759.375","13759.375","13759.375"
"8896512","13807.03125","13807.03125","13807.03125"
"8912896","13821.875","13821.875","13821.875"
"8929280","13811.71875","13811.71875","13811.71875"
"8945664","14000","14000","14000"
"8962048","14257.03125","14257.03125","14257.03125"
"8978432","14212.5","14212.5","14212.5"
"8994816","14179.6875","14179.6875","14179.6875"
"9011200","14432.03125","14432.03125","14432.03125"
"9027584","14430.46875","14430.46875","14430.46875"
"9043968","14634.375","14634.375","14634.375"
"9060352","14203.90625","14203.90625","14203.90625"
"9076736","14707.8125","14707.8125","14707.8125"
"9093120","14425","14425","14425"
"9109504","14327.34375","14327.34375","14327.34375"
"9125888","14248.4375","14248.4375","14248.4375"
"9142272","14442.1875","14442.1875","14442.1875"
"9158656","14371.875","14371.875","14371.875"
"9175040","14430.46875","14430.46875","14430.46875"
"9191424","14696.875","14696.875","14696.875"
"9207808","14700.78125","14700.78125","14700.78125"
"9224192","14667.1875","14667.1875","14667.1875"
"9240576","14483.59375","14483.59375","14483.59375"
