"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"3145728","612.2890625","612.2890625","612.2890625"
"3162112","617.5546875","617.5546875","617.5546875"
"3178496","607.984375","607.984375","607.984375"
"3194880","625.015625","625.015625","625.015625"
"3211264","631.1953125","631.1953125","631.1953125"
"3227648","624.5703125","624.5703125","624.5703125"
"3244032","610.0234375","610.0234375","610.0234375"
"3260416","616.234375","616.234375","616.234375"
"3276800","627.3515625","627.3515625","627.3515625"
"3293184","615.6328125","615.6328125","615.6328125"
"3309568","629.8203125","629.8203125","629.8203125"
"3325952","636.2421875","636.2421875","636.2421875"
"3342336","635.25","635.25","635.25"
"3358720","620.296875","620.296875","620.296875"
"3375104","597.015625","597.015625","597.015625"
"3391488","592.9453125","592.9453125","592.9453125"
"3407872","592.0078125","592.0078125","592.0078125"
"3424256","593.625","593.625","593.625"
"3440640","600.6953125","600.6953125","600.6953125"
"3457024","619.2109375","619.2109375","619.2109375"
"3473408","635.9375","635.9375","635.9375"
"3489792","658.8359375","658.8359375","658.8359375"
"3506176","637.3671875","637.3671875","637.3671875"
"3522560","646.3046875","646.3046875","646.3046875"
"3538944","637.4296875","637.4296875","637.4296875"
"3555328","617.8828125","617.8828125","617.8828125"
"3571712","618.0625","618.0625","618.0625"
"3588096","614.53125","614.53125","614.53125"
"3604480","602.828125","602.828125","602.828125"
"3620864","600.921875","600.921875","600.921875"
"3637248","594.484375","594.484375","594.484375"
"3653632","612.1484375","612.1484375","612.1484375"
"3670016","601.1796875","601.1796875","601.1796875"
"3686400","624.6484375","624.6484375","624.6484375"
"3702784","629.453125","629.453125","629.453125"
"3719168","638.484375","638.484375","638.484375"
"3735552","620.96875","620.96875","620.96875"
"3751936","634.4609375","634.4609375","634.4609375"
"3768320","624.1171875","624.1171875","624.1171875"
"3784704","613.0625","613.0625","613.0625"
"3801088","596.3515625","596.3515625","596.3515625"
"3817472","600.609375","600.609375","600.609375"
"3833856","590.484375","590.484375","590.484375"
"3850240","589.828125","589.828125","589.828125"
"3866624","598.1953125","598.1953125","598.1953125"
"3883008","614.5859375","614.5859375","614.5859375"
"3899392","616.4921875","616.4921875","616.4921875"
"3915776","630.0703125","630.0703125","630.0703125"
"3932160","634.15625","634.15625","634.15625"
"3948544","651.7890625","651.7890625","651.7890625"
"3964928","640.7265625","640.7265625","640.7265625"
"3981312","635.109375","635.109375","635.109375"
"3997696","631.8359375","631.8359375","631.8359375"
"4014080","631.1796875","631.1796875","631.1796875"
"4030464","605.453125","605.453125","605.453125"
"4046848","602.7890625","602.7890625","602.7890625"
"4063232","596.0234375","596.0234375","596.0234375"
"4079616","598.71875","598.71875","598.71875"
"4096000","600.484375","600.484375","600.484375"
"4112384","603.6796875","603.6796875","603.6796875"
"4128768","618.375","618.375","618.375"
"4145152","618.9375","618.9375","618.9375"
"4161536","607.15625","607.15625","607.15625"
"4177920","603.25","603.25","603.25"
"4194304","604.234375","604.234375","604.234375"
"4210688","600.7421875","600.7421875","600.7421875"
"4227072","592.9921875","592.9921875","592.9921875"
"4243456","604.9140625","604.9140625","604.9140625"
"4259840","609.0859375","609.0859375","609.0859375"
"4276224","614.296875","614.296875","614.296875"
"4292608","606.8046875","606.8046875","606.8046875"
"4308992","619.9296875","619.9296875","619.9296875"
"4325376","619.1171875","619.1171875","619.1171875"
"4341760","610.75","610.75","610.75"
"4358144","606.9140625","606.9140625","606.9140625"
"4374528","610.03125","610.03125","610.03125"
"4390912","609.09375","609.09375","609.09375"
"4407296","606.328125","606.328125","606.328125"
"4423680","614.609375","614.609375","614.609375"
"4440064","614.6875","614.6875","614.6875"
"4456448","630.625","630.625","630.625"
"4472832","631.203125","631.203125","631.203125"
"4489216","640.5625","640.5625","640.5625"
"4505600","648.0703125","648.0703125","648.0703125"
"4521984","655.2421875","655.2421875","655.2421875"
"4538368","650.234375","650.234375","650.234375"
"4554752","655.9375","655.9375","655.9375"
"4571136","650.25","650.25","650.25"
"4587520","645.9296875","645.9296875","645.9296875"
"4603904","644.40625","644.40625","644.40625"
"4620288","634.0703125","634.0703125","634.0703125"
"4636672","638.328125","638.328125","638.328125"
"4653056","639.640625","639.640625","639.640625"
"4669440","627.0078125","627.0078125","627.0078125"
"4685824","624.15625","624.15625","624.15625"
"4702208","618.6875","618.6875","618.6875"
"4718592","607.125","607.125","607.125"
"4734976","610.1796875","610.1796875","610.1796875"
"4751360","610.40625","610.40625","610.40625"
"4767744","620.9375","620.9375","620.9375"
"4784128","627.5390625","627.5390625","627.5390625"
"4800512","644.5234375","644.5234375","644.5234375"
"4816896","659.9765625","659.9765625","659.9765625"
"4833280","684.96875","684.96875","684.96875"
"4849664","686.1171875","686.1171875","686.1171875"
"4866048","693.3203125","693.3203125","693.3203125"
