"Step","TrajLen","StarGunner-v5__ppo_rle_SwitchStep500 - charts/traj_len__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - charts/traj_len__MAX"
"5963776","1362.4609375","1362.4609375","1362.4609375"
"5980160","1356.5234375","1356.5234375","1356.5234375"
"5996544","1358.25","1358.25","1358.25"
"6012928","1364.046875","1364.046875","1364.046875"
"6029312","1345.8359375","1345.8359375","1345.8359375"
"6045696","1347.7265625","1347.7265625","1347.7265625"
"6062080","1362.640625","1362.640625","1362.640625"
"6078464","1363.4140625","1363.4140625","1363.4140625"
"6094848","1351.3359375","1351.3359375","1351.3359375"
"6111232","1364.4296875","1364.4296875","1364.4296875"
"6127616","1365.375","1365.375","1365.375"
"6144000","1367.9375","1367.9375","1367.9375"
"6160384","1346.8828125","1346.8828125","1346.8828125"
"6176768","1373.8671875","1373.8671875","1373.8671875"
"6193152","1361.625","1361.625","1361.625"
"6209536","1381.5","1381.5","1381.5"
"6225920","1411.7109375","1411.7109375","1411.7109375"
"6242304","1398.1171875","1398.1171875","1398.1171875"
"6258688","1431.875","1431.875","1431.875"
"6275072","1410.9375","1410.9375","1410.9375"
"6291456","1417.3828125","1417.3828125","1417.3828125"
"6307840","1431.3046875","1431.3046875","1431.3046875"
"6324224","1423.75","1423.75","1423.75"
"6340608","1437.8828125","1437.8828125","1437.8828125"
"6356992","1457.953125","1457.953125","1457.953125"
"6373376","1438.390625","1438.390625","1438.390625"
"6389760","1451.625","1451.625","1451.625"
"6406144","1408.625","1408.625","1408.625"
"6422528","1406.2109375","1406.2109375","1406.2109375"
"6438912","1376.6015625","1376.6015625","1376.6015625"
"6455296","1370.8203125","1370.8203125","1370.8203125"
"6471680","1382.9765625","1382.9765625","1382.9765625"
"6488064","1366.3046875","1366.3046875","1366.3046875"
"6504448","1402.84375","1402.84375","1402.84375"
"6520832","1410.453125","1410.453125","1410.453125"
"6537216","1398.5390625","1398.5390625","1398.5390625"
"6553600","1413.4453125","1413.4453125","1413.4453125"
"6569984","1437.9453125","1437.9453125","1437.9453125"
"6586368","1420.8515625","1420.8515625","1420.8515625"
"6602752","1436.96875","1436.96875","1436.96875"
"6619136","1445.53125","1445.53125","1445.53125"
"6635520","1457.15625","1457.15625","1457.15625"
"6651904","1463.28125","1463.28125","1463.28125"
"6668288","1459.7421875","1459.7421875","1459.7421875"
"6684672","1455.515625","1455.515625","1455.515625"
"6701056","1429.1796875","1429.1796875","1429.1796875"
"6717440","1416.5078125","1416.5078125","1416.5078125"
"6733824","1423.9609375","1423.9609375","1423.9609375"
"6750208","1426.1484375","1426.1484375","1426.1484375"
"6766592","1428.421875","1428.421875","1428.421875"
"6782976","1441.234375","1441.234375","1441.234375"
"6799360","1433.2734375","1433.2734375","1433.2734375"
"6815744","1413.921875","1413.921875","1413.921875"
"6832128","1411.6640625","1411.6640625","1411.6640625"
"6848512","1401.9296875","1401.9296875","1401.9296875"
"6864896","1423.90625","1423.90625","1423.90625"
"6881280","1445.046875","1445.046875","1445.046875"
