"Step","TrajLen","StarGunner-v5__ppo - charts/traj_len__MIN","StarGunner-v5__ppo - charts/traj_len__MAX"
"4653056","952.3359375","952.3359375","952.3359375"
"4669440","964.5078125","964.5078125","964.5078125"
"4685824","966.1171875","966.1171875","966.1171875"
"4702208","948.8515625","948.8515625","948.8515625"
"4718592","957.8984375","957.8984375","957.8984375"
"4734976","977.4375","977.4375","977.4375"
"4751360","1000.46875","1000.46875","1000.46875"
"4767744","993.9140625","993.9140625","993.9140625"
"4784128","1009.8125","1009.8125","1009.8125"
"4800512","1020.1796875","1020.1796875","1020.1796875"
"4816896","1018.8359375","1018.8359375","1018.8359375"
"4833280","1017.4765625","1017.4765625","1017.4765625"
"4849664","1009.6484375","1009.6484375","1009.6484375"
"4866048","1010.9921875","1010.9921875","1010.9921875"
"4882432","1008.4921875","1008.4921875","1008.4921875"
"4898816","1006.2734375","1006.2734375","1006.2734375"
"4915200","997.25","997.25","997.25"
"4931584","982.8984375","982.8984375","982.8984375"
"4947968","1004.2421875","1004.2421875","1004.2421875"
"4964352","1008.375","1008.375","1008.375"
"4980736","1026.09375","1026.09375","1026.09375"
"4997120","1020.8828125","1020.8828125","1020.8828125"
"5013504","1015.6171875","1015.6171875","1015.6171875"
"5029888","1009.2734375","1009.2734375","1009.2734375"
"5046272","1029.2890625","1029.2890625","1029.2890625"
"5062656","1022.53125","1022.53125","1022.53125"
"5079040","1018.4609375","1018.4609375","1018.4609375"
"5095424","1011.1875","1011.1875","1011.1875"
"5111808","1001.515625","1001.515625","1001.515625"
"5128192","1005.578125","1005.578125","1005.578125"
"5144576","993.0625","993.0625","993.0625"
"5160960","999.34375","999.34375","999.34375"
"5177344","1017.6796875","1017.6796875","1017.6796875"
"5193728","1016.859375","1016.859375","1016.859375"
"5210112","1031.0703125","1031.0703125","1031.0703125"
"5226496","1032.7578125","1032.7578125","1032.7578125"
"5242880","1041.703125","1041.703125","1041.703125"
"5259264","1044.3828125","1044.3828125","1044.3828125"
"5275648","1067.0703125","1067.0703125","1067.0703125"
"5292032","1082.046875","1082.046875","1082.046875"
"5308416","1064","1064","1064"
"5324800","1067.09375","1067.09375","1067.09375"
"5341184","1050.0625","1050.0625","1050.0625"
"5357568","1037.375","1037.375","1037.375"
"5373952","1047.90625","1047.90625","1047.90625"
"5390336","1038.2578125","1038.2578125","1038.2578125"
"5406720","1062.671875","1062.671875","1062.671875"
"5423104","1048.7578125","1048.7578125","1048.7578125"
"5439488","1058.7578125","1058.7578125","1058.7578125"
"5455872","1057","1057","1057"
