"Step","TrajLen","StarGunner-v5__ppo_rnd_envpool - charts/traj_len__MIN","StarGunner-v5__ppo_rnd_envpool - charts/traj_len__MAX"
"3145728","987.046875","987.046875","987.046875"
"3162112","1003.3125","1003.3125","1003.3125"
"3178496","1000.7421875","1000.7421875","1000.7421875"
"3194880","1022.6796875","1022.6796875","1022.6796875"
"3211264","1026.3984375","1026.3984375","1026.3984375"
"3227648","1021.4765625","1021.4765625","1021.4765625"
"3244032","1025.625","1025.625","1025.625"
"3260416","1022.84375","1022.84375","1022.84375"
"3276800","1023.015625","1023.015625","1023.015625"
"3293184","1015.1875","1015.1875","1015.1875"
"3309568","991.1953125","991.1953125","991.1953125"
"3325952","993.234375","993.234375","993.234375"
"3342336","971.4140625","971.4140625","971.4140625"
"3358720","964.9140625","964.9140625","964.9140625"
"3375104","948.8828125","948.8828125","948.8828125"
"3391488","955.9765625","955.9765625","955.9765625"
"3407872","953.34375","953.34375","953.34375"
"3424256","963.234375","963.234375","963.234375"
"3440640","970.1484375","970.1484375","970.1484375"
"3457024","979.3046875","979.3046875","979.3046875"
"3473408","1001.9453125","1001.9453125","1001.9453125"
"3489792","1018.4921875","1018.4921875","1018.4921875"
"3506176","1057.796875","1057.796875","1057.796875"
"3522560","1045.2734375","1045.2734375","1045.2734375"
"3538944","1035.1796875","1035.1796875","1035.1796875"
"3555328","1028.703125","1028.703125","1028.703125"
"3571712","1014.75","1014.75","1014.75"
"3588096","1013.3203125","1013.3203125","1013.3203125"
"3604480","1034.6484375","1034.6484375","1034.6484375"
"3620864","1005.2890625","1005.2890625","1005.2890625"
"3637248","997.890625","997.890625","997.890625"
"3653632","1008.1484375","1008.1484375","1008.1484375"
"3670016","1004.0546875","1004.0546875","1004.0546875"
"3686400","998.015625","998.015625","998.015625"
"3702784","1004.3125","1004.3125","1004.3125"
"3719168","982.78125","982.78125","982.78125"
"3735552","978.5625","978.5625","978.5625"
"3751936","982.71875","982.71875","982.71875"
"3768320","991.6953125","991.6953125","991.6953125"
"3784704","990.1875","990.1875","990.1875"
"3801088","980.5390625","980.5390625","980.5390625"
"3817472","975.3125","975.3125","975.3125"
"3833856","1017.203125","1017.203125","1017.203125"
"3850240","1041.5390625","1041.5390625","1041.5390625"
"3866624","1046.28125","1046.28125","1046.28125"
"3883008","1033.578125","1033.578125","1033.578125"
"3899392","1023.0703125","1023.0703125","1023.0703125"
"3915776","1030.8046875","1030.8046875","1030.8046875"
"3932160","1056.40625","1056.40625","1056.40625"
"3948544","1058.375","1058.375","1058.375"
"3964928","1015.2109375","1015.2109375","1015.2109375"
"3981312","986.609375","986.609375","986.609375"
"3997696","979.78125","979.78125","979.78125"
"4014080","1013.9140625","1013.9140625","1013.9140625"
"4030464","1006.9140625","1006.9140625","1006.9140625"
"4046848","992.3203125","992.3203125","992.3203125"
"4063232","973.5859375","973.5859375","973.5859375"
"4079616","984.828125","984.828125","984.828125"
"4096000","981.3125","981.3125","981.3125"
"4112384","975.09375","975.09375","975.09375"
"4128768","963.9921875","963.9921875","963.9921875"
"4145152","973.40625","973.40625","973.40625"
"4161536","971.2109375","971.2109375","971.2109375"
"4177920","954.8828125","954.8828125","954.8828125"
"4194304","951.359375","951.359375","951.359375"
"4210688","948.7109375","948.7109375","948.7109375"
"4227072","964.390625","964.390625","964.390625"
"4243456","971.46875","971.46875","971.46875"
"4259840","994.390625","994.390625","994.390625"
"4276224","966.4453125","966.4453125","966.4453125"
"4292608","991.8125","991.8125","991.8125"
"4308992","1015.4921875","1015.4921875","1015.4921875"
"4325376","1007.953125","1007.953125","1007.953125"
"4341760","1002.3984375","1002.3984375","1002.3984375"
"4358144","987.421875","987.421875","987.421875"
"4374528","971.9609375","971.9609375","971.9609375"
"4390912","971.4765625","971.4765625","971.4765625"
"4407296","973.0390625","973.0390625","973.0390625"
"4423680","970.7890625","970.7890625","970.7890625"
"4440064","962.640625","962.640625","962.640625"
"4456448","984.8125","984.8125","984.8125"
"4472832","1007.2734375","1007.2734375","1007.2734375"
"4489216","1006.53125","1006.53125","1006.53125"
"4505600","1025.8515625","1025.8515625","1025.8515625"
"4521984","1011.2421875","1011.2421875","1011.2421875"
"4538368","1011.828125","1011.828125","1011.828125"
"4554752","1024.7578125","1024.7578125","1024.7578125"
"4571136","1031.6484375","1031.6484375","1031.6484375"
"4587520","1016.671875","1016.671875","1016.671875"
"4603904","1009.8515625","1009.8515625","1009.8515625"
"4620288","995","995","995"
"4636672","983.6640625","983.6640625","983.6640625"
"4653056","990.453125","990.453125","990.453125"
"4669440","1009.3984375","1009.3984375","1009.3984375"
"4685824","1006.96875","1006.96875","1006.96875"
"4702208","1005.109375","1005.109375","1005.109375"
"4718592","1003.4140625","1003.4140625","1003.4140625"
"4734976","1010.3984375","1010.3984375","1010.3984375"
"4751360","1020.234375","1020.234375","1020.234375"
"4767744","1004.3984375","1004.3984375","1004.3984375"
"4784128","1021.28125","1021.28125","1021.28125"
"4800512","1000.6015625","1000.6015625","1000.6015625"
"4816896","973.6328125","973.6328125","973.6328125"
"4833280","981.796875","981.796875","981.796875"
"4849664","959.9765625","959.9765625","959.9765625"
"4866048","947.046875","947.046875","947.046875"
"4882432","959.1640625","959.1640625","959.1640625"
"4898816","972.0859375","972.0859375","972.0859375"
"4915200","954.375","954.375","954.375"
"4931584","941","941","941"
"4947968","940.7421875","940.7421875","940.7421875"
"4964352","948.5703125","948.5703125","948.5703125"
"4980736","949.125","949.125","949.125"
"4997120","968.609375","968.609375","968.609375"
"5013504","954.21875","954.21875","954.21875"
"5029888","936.4609375","936.4609375","936.4609375"
"5046272","960.265625","960.265625","960.265625"
"5062656","958.3515625","958.3515625","958.3515625"
"5079040","960.078125","960.078125","960.078125"
"5095424","939.921875","939.921875","939.921875"
"5111808","960.328125","960.328125","960.328125"
"5128192","954.5234375","954.5234375","954.5234375"
"5144576","968.65625","968.65625","968.65625"
"5160960","973.6640625","973.6640625","973.6640625"
"5177344","964.953125","964.953125","964.953125"
"5193728","974.203125","974.203125","974.203125"
"5210112","973.75","973.75","973.75"
"5226496","961.7265625","961.7265625","961.7265625"
"5242880","955.9921875","955.9921875","955.9921875"
"5259264","946.8203125","946.8203125","946.8203125"
"5275648","933.8046875","933.8046875","933.8046875"
"5292032","931.3203125","931.3203125","931.3203125"
"5308416","941.09375","941.09375","941.09375"
"5324800","931.1953125","931.1953125","931.1953125"
"5341184","940.40625","940.40625","940.40625"
"5357568","949.984375","949.984375","949.984375"
"5373952","962.1875","962.1875","962.1875"
"5390336","970.6875","970.6875","970.6875"
"5406720","995.234375","995.234375","995.234375"
"5423104","1014.3828125","1014.3828125","1014.3828125"
"5439488","1003.578125","1003.578125","1003.578125"
"5455872","1007.4140625","1007.4140625","1007.4140625"
"5472256","1020.96875","1020.96875","1020.96875"
"5488640","1015.3515625","1015.3515625","1015.3515625"
"5505024","1007.6796875","1007.6796875","1007.6796875"
"5521408","1004.0625","1004.0625","1004.0625"
"5537792","990.1640625","990.1640625","990.1640625"
"5554176","1002.8671875","1002.8671875","1002.8671875"
"5570560","1009.84375","1009.84375","1009.84375"
"5586944","1001.1640625","1001.1640625","1001.1640625"
"5603328","988.4921875","988.4921875","988.4921875"
"5619712","984.328125","984.328125","984.328125"
"5636096","985.7578125","985.7578125","985.7578125"
"5652480","977.3515625","977.3515625","977.3515625"
"5668864","983.296875","983.296875","983.296875"
"5685248","970.8203125","970.8203125","970.8203125"
"5701632","982.8984375","982.8984375","982.8984375"
"5718016","988.609375","988.609375","988.609375"
"5734400","989.484375","989.484375","989.484375"
"5750784","984.109375","984.109375","984.109375"
"5767168","1003","1003","1003"
"5783552","993.578125","993.578125","993.578125"
"5799936","997.765625","997.765625","997.765625"
"5816320","1015.796875","1015.796875","1015.796875"
"5832704","1016.7421875","1016.7421875","1016.7421875"
"5849088","1020.765625","1020.765625","1020.765625"
"5865472","1018.25","1018.25","1018.25"
"5881856","1012.5234375","1012.5234375","1012.5234375"
"5898240","1035.609375","1035.609375","1035.609375"
"5914624","1066.8203125","1066.8203125","1066.8203125"
"5931008","1073.84375","1073.84375","1073.84375"
"5947392","1060.8359375","1060.8359375","1060.8359375"
"5963776","1050.109375","1050.109375","1050.109375"
"5980160","1060.234375","1060.234375","1060.234375"
"5996544","1046.625","1046.625","1046.625"
"6012928","1071.6015625","1071.6015625","1071.6015625"
"6029312","1052.3046875","1052.3046875","1052.3046875"
"6045696","1037.59375","1037.59375","1037.59375"
"6062080","1043.6953125","1043.6953125","1043.6953125"
"6078464","1057.2421875","1057.2421875","1057.2421875"
"6094848","1030.6015625","1030.6015625","1030.6015625"
"6111232","1009.53125","1009.53125","1009.53125"
"6127616","1018.921875","1018.921875","1018.921875"
"6144000","1005.703125","1005.703125","1005.703125"
"6160384","990.7734375","990.7734375","990.7734375"
"6176768","976.4375","976.4375","976.4375"
"6193152","969.265625","969.265625","969.265625"
"6209536","979.7265625","979.7265625","979.7265625"
"6225920","979.0234375","979.0234375","979.0234375"
"6242304","970.3828125","970.3828125","970.3828125"
"6258688","969.7578125","969.7578125","969.7578125"
"6275072","951.3046875","951.3046875","951.3046875"
"6291456","934.515625","934.515625","934.515625"
"6307840","938.890625","938.890625","938.890625"
"6324224","937.5546875","937.5546875","937.5546875"
"6340608","930.3046875","930.3046875","930.3046875"
"6356992","950.2578125","950.2578125","950.2578125"
"6373376","951.7109375","951.7109375","951.7109375"
"6389760","946.53125","946.53125","946.53125"
"6406144","969.96875","969.96875","969.96875"
"6422528","969.3984375","969.3984375","969.3984375"
"6438912","970.8125","970.8125","970.8125"
"6455296","969.9375","969.9375","969.9375"
"6471680","968.0234375","968.0234375","968.0234375"
"6488064","969.71875","969.71875","969.71875"
"6504448","962.2109375","962.2109375","962.2109375"
"6520832","990.4375","990.4375","990.4375"
"6537216","1006.2421875","1006.2421875","1006.2421875"
"6553600","1013.578125","1013.578125","1013.578125"
"6569984","1010.078125","1010.078125","1010.078125"
"6586368","1044.3671875","1044.3671875","1044.3671875"
"6602752","1026.2890625","1026.2890625","1026.2890625"
"6619136","1023.7265625","1023.7265625","1023.7265625"
"6635520","1039.359375","1039.359375","1039.359375"
"6651904","1045.3359375","1045.3359375","1045.3359375"
"6668288","1039.7890625","1039.7890625","1039.7890625"
"6684672","1049.3046875","1049.3046875","1049.3046875"
"6701056","1062.046875","1062.046875","1062.046875"
"6717440","1080.7421875","1080.7421875","1080.7421875"
"6733824","1076.5859375","1076.5859375","1076.5859375"
"6750208","1119.2734375","1119.2734375","1119.2734375"
"6766592","1130.5703125","1130.5703125","1130.5703125"
"6782976","1139.2734375","1139.2734375","1139.2734375"
"6799360","1141.2578125","1141.2578125","1141.2578125"
"6815744","1120.4375","1120.4375","1120.4375"
"6832128","1118.5546875","1118.5546875","1118.5546875"
"6848512","1108.0703125","1108.0703125","1108.0703125"
"6864896","1114.9296875","1114.9296875","1114.9296875"
"6881280","1117.875","1117.875","1117.875"
"6897664","1100.578125","1100.578125","1100.578125"
"6914048","1105.7421875","1105.7421875","1105.7421875"
"6930432","1110.796875","1110.796875","1110.796875"
"6946816","1110.4765625","1110.4765625","1110.4765625"
"6963200","1106.84375","1106.84375","1106.84375"
"6979584","1125.7734375","1125.7734375","1125.7734375"
"6995968","1157.1640625","1157.1640625","1157.1640625"
"7012352","1157.3671875","1157.3671875","1157.3671875"
"7028736","1162.25","1162.25","1162.25"
"7045120","1158.8515625","1158.8515625","1158.8515625"
"7061504","1183.9609375","1183.9609375","1183.9609375"
"7077888","1170.28125","1170.28125","1170.28125"
"7094272","1172.421875","1172.421875","1172.421875"
"7110656","1170.8125","1170.8125","1170.8125"
"7127040","1157.296875","1157.296875","1157.296875"
"7143424","1156.6015625","1156.6015625","1156.6015625"
"7159808","1146.890625","1146.890625","1146.890625"
"7176192","1155","1155","1155"
"7192576","1146.5546875","1146.5546875","1146.5546875"
"7208960","1116.375","1116.375","1116.375"
"7225344","1150.28125","1150.28125","1150.28125"
"7241728","1135.1328125","1135.1328125","1135.1328125"
"7258112","1143.5390625","1143.5390625","1143.5390625"
"7274496","1139.3125","1139.3125","1139.3125"
"7290880","1137.1328125","1137.1328125","1137.1328125"
"7307264","1132.359375","1132.359375","1132.359375"
"7323648","1133.1484375","1133.1484375","1133.1484375"
"7340032","1142.125","1142.125","1142.125"
"7356416","1136.5859375","1136.5859375","1136.5859375"
"7372800","1122.3984375","1122.3984375","1122.3984375"
"7389184","1140.9765625","1140.9765625","1140.9765625"
"7405568","1143.2578125","1143.2578125","1143.2578125"
"7421952","1151.7421875","1151.7421875","1151.7421875"
"7438336","1159.6640625","1159.6640625","1159.6640625"
"7454720","1170.2265625","1170.2265625","1170.2265625"
"7471104","1178.921875","1178.921875","1178.921875"
"7487488","1183.484375","1183.484375","1183.484375"
"7503872","1194.7578125","1194.7578125","1194.7578125"
"7520256","1200.859375","1200.859375","1200.859375"
"7536640","1195.515625","1195.515625","1195.515625"
"7553024","1210.8359375","1210.8359375","1210.8359375"
"7569408","1216.546875","1216.546875","1216.546875"
"7585792","1253.703125","1253.703125","1253.703125"
"7602176","1289.71875","1289.71875","1289.71875"
"7618560","1279.6953125","1279.6953125","1279.6953125"
"7634944","1305.5390625","1305.5390625","1305.5390625"
"7651328","1325.734375","1325.734375","1325.734375"
"7667712","1388.40625","1388.40625","1388.40625"
"7684096","1381.53125","1381.53125","1381.53125"
"7700480","1402.46875","1402.46875","1402.46875"
"7716864","1428.71875","1428.71875","1428.71875"
"7733248","1464.90625","1464.90625","1464.90625"
"7749632","1458.71875","1458.71875","1458.71875"
"7766016","1464.2265625","1464.2265625","1464.2265625"
"7782400","1450.3046875","1450.3046875","1450.3046875"
"7798784","1454.2265625","1454.2265625","1454.2265625"
"7815168","1469.890625","1469.890625","1469.890625"
"7831552","1470.1328125","1470.1328125","1470.1328125"
"7847936","1459.78125","1459.78125","1459.78125"
"7864320","1476.46875","1476.46875","1476.46875"
"7880704","1493.359375","1493.359375","1493.359375"
"7897088","1489.0859375","1489.0859375","1489.0859375"
"7913472","1470.7109375","1470.7109375","1470.7109375"
"7929856","1507.046875","1507.046875","1507.046875"
"7946240","1487.9453125","1487.9453125","1487.9453125"
"7962624","1464.859375","1464.859375","1464.859375"
"7979008","1443.28125","1443.28125","1443.28125"
"7995392","1446.9921875","1446.9921875","1446.9921875"
"8011776","1428","1428","1428"
"8028160","1446.7265625","1446.7265625","1446.7265625"
"8044544","1417.578125","1417.578125","1417.578125"
"8060928","1422.59375","1422.59375","1422.59375"
"8077312","1429.1171875","1429.1171875","1429.1171875"
"8093696","1421.234375","1421.234375","1421.234375"
"8110080","1390.4921875","1390.4921875","1390.4921875"
"8126464","1388.78125","1388.78125","1388.78125"
"8142848","1397.625","1397.625","1397.625"
"8159232","1399.984375","1399.984375","1399.984375"
"8175616","1405.1015625","1405.1015625","1405.1015625"
"8192000","1390.7109375","1390.7109375","1390.7109375"
"8208384","1354.9765625","1354.9765625","1354.9765625"
"8224768","1395.234375","1395.234375","1395.234375"
"8241152","1366.28125","1366.28125","1366.28125"
"8257536","1372.7578125","1372.7578125","1372.7578125"
"8273920","1384.140625","1384.140625","1384.140625"
"8290304","1392.6796875","1392.6796875","1392.6796875"
"8306688","1398.0078125","1398.0078125","1398.0078125"
"8323072","1388.5625","1388.5625","1388.5625"
"8339456","1399.8984375","1399.8984375","1399.8984375"
"8355840","1411.5859375","1411.5859375","1411.5859375"
"8372224","1393.203125","1393.203125","1393.203125"
"8388608","1402.25","1402.25","1402.25"
"8404992","1371.7890625","1371.7890625","1371.7890625"
"8421376","1370.1875","1370.1875","1370.1875"
"8437760","1355.0390625","1355.0390625","1355.0390625"
"8454144","1328.9921875","1328.9921875","1328.9921875"
"8470528","1329.3125","1329.3125","1329.3125"
"8486912","1348.6171875","1348.6171875","1348.6171875"
"8503296","1339.9765625","1339.9765625","1339.9765625"
"8519680","1324.0703125","1324.0703125","1324.0703125"
"8536064","1316.828125","1316.828125","1316.828125"
"8552448","1323.4609375","1323.4609375","1323.4609375"
"8568832","1327.375","1327.375","1327.375"
"8585216","1340.9375","1340.9375","1340.9375"
"8601600","1344.5078125","1344.5078125","1344.5078125"
"8617984","1317.515625","1317.515625","1317.515625"
"8634368","1328.8984375","1328.8984375","1328.8984375"
"8650752","1308.4921875","1308.4921875","1308.4921875"
"8667136","1319.640625","1319.640625","1319.640625"
"8683520","1337.8671875","1337.8671875","1337.8671875"
"8699904","1348.6953125","1348.6953125","1348.6953125"
"8716288","1338.6171875","1338.6171875","1338.6171875"
"8732672","1325.203125","1325.203125","1325.203125"
"8749056","1329.515625","1329.515625","1329.515625"
"8765440","1318.875","1318.875","1318.875"
"8781824","1314.0078125","1314.0078125","1314.0078125"
"8798208","1337.375","1337.375","1337.375"
"8814592","1367.03125","1367.03125","1367.03125"
"8830976","1381.3671875","1381.3671875","1381.3671875"
"8847360","1398.2421875","1398.2421875","1398.2421875"
"8863744","1394.5078125","1394.5078125","1394.5078125"
"8880128","1395.34375","1395.34375","1395.34375"
"8896512","1391.7421875","1391.7421875","1391.7421875"
"8912896","1434.875","1434.875","1434.875"
"8929280","1466.84375","1466.84375","1466.84375"
"8945664","1470.7578125","1470.7578125","1470.7578125"
"8962048","1477.3671875","1477.3671875","1477.3671875"
"8978432","1467.625","1467.625","1467.625"
"8994816","1483.328125","1483.328125","1483.328125"
"9011200","1490.9296875","1490.9296875","1490.9296875"
"9027584","1474.5703125","1474.5703125","1474.5703125"
"9043968","1499.5390625","1499.5390625","1499.5390625"
"9060352","1488.0625","1488.0625","1488.0625"
"9076736","1505.6796875","1505.6796875","1505.6796875"
"9093120","1503.1796875","1503.1796875","1503.1796875"
"9109504","1488.1171875","1488.1171875","1488.1171875"
"9125888","1490.859375","1490.859375","1490.859375"
"9142272","1516.140625","1516.140625","1516.140625"
"9158656","1519.1640625","1519.1640625","1519.1640625"
"9175040","1548.3125","1548.3125","1548.3125"
"9191424","1541.6328125","1541.6328125","1541.6328125"
"9207808","1552.7890625","1552.7890625","1552.7890625"
"9224192","1585.6171875","1585.6171875","1585.6171875"
"9240576","1577.9296875","1577.9296875","1577.9296875"
"9256960","1562.375","1562.375","1562.375"
