"Step","TrajLen","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MIN","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MAX"
"6307840","632.7109375","632.7109375","632.7109375"
"6324224","644.28125","644.28125","644.28125"
"6340608","650.2578125","650.2578125","650.2578125"
"6356992","641.796875","641.796875","641.796875"
"6373376","644.34375","644.34375","644.34375"
"6389760","627.40625","627.40625","627.40625"
"6406144","625.6328125","625.6328125","625.6328125"
"6422528","622.7421875","622.7421875","622.7421875"
"6438912","625.390625","625.390625","625.390625"
"6455296","618.671875","618.671875","618.671875"
"6471680","616.3125","616.3125","616.3125"
"6488064","616.0703125","616.0703125","616.0703125"
"6504448","611.9921875","611.9921875","611.9921875"
"6520832","618.7734375","618.7734375","618.7734375"
"6537216","620.8515625","620.8515625","620.8515625"
"6553600","628.234375","628.234375","628.234375"
"6569984","614.5234375","614.5234375","614.5234375"
"6586368","619.8359375","619.8359375","619.8359375"
"6602752","620.390625","620.390625","620.390625"
"6619136","617.09375","617.09375","617.09375"
"6635520","622.328125","622.328125","622.328125"
"6651904","619.734375","619.734375","619.734375"
"6668288","618.3359375","618.3359375","618.3359375"
"6684672","612.015625","612.015625","612.015625"
"6701056","611","611","611"
"6717440","613.9296875","613.9296875","613.9296875"
"6733824","628.8515625","628.8515625","628.8515625"
"6750208","632.640625","632.640625","632.640625"
"6766592","641.375","641.375","641.375"
"6782976","638.1953125","638.1953125","638.1953125"
"6799360","643.390625","643.390625","643.390625"
"6815744","639.140625","639.140625","639.140625"
"6832128","636.21875","636.21875","636.21875"
"6848512","627.6015625","627.6015625","627.6015625"
"6864896","640.2109375","640.2109375","640.2109375"
"6881280","636.4453125","636.4453125","636.4453125"
"6897664","647.90625","647.90625","647.90625"
"6914048","650.5234375","650.5234375","650.5234375"
"6930432","655.5703125","655.5703125","655.5703125"
"6946816","655.6328125","655.6328125","655.6328125"
"6963200","662.4765625","662.4765625","662.4765625"
"6979584","651.5390625","651.5390625","651.5390625"
"6995968","652.2421875","652.2421875","652.2421875"
"7012352","647.671875","647.671875","647.671875"
"7028736","648.3046875","648.3046875","648.3046875"
"7045120","646.4375","646.4375","646.4375"
"7061504","656.0390625","656.0390625","656.0390625"
"7077888","646.2734375","646.2734375","646.2734375"
"7094272","641.5234375","641.5234375","641.5234375"
"7110656","649.8515625","649.8515625","649.8515625"
"7127040","659.6171875","659.6171875","659.6171875"
"7143424","659.3203125","659.3203125","659.3203125"
"7159808","663.953125","663.953125","663.953125"
"7176192","682.734375","682.734375","682.734375"
"7192576","682.15625","682.15625","682.15625"
"7208960","683.6484375","683.6484375","683.6484375"
"7225344","686.03125","686.03125","686.03125"
"7241728","679.9765625","679.9765625","679.9765625"
"7258112","678.2265625","678.2265625","678.2265625"
"7274496","678.859375","678.859375","678.859375"
"7290880","679.3359375","679.3359375","679.3359375"
"7307264","672.234375","672.234375","672.234375"
"7323648","667.6171875","667.6171875","667.6171875"
"7340032","668.9609375","668.9609375","668.9609375"
"7356416","660.8203125","660.8203125","660.8203125"
"7372800","664.71875","664.71875","664.71875"
"7389184","666.34375","666.34375","666.34375"
"7405568","668.578125","668.578125","668.578125"
"7421952","670.40625","670.40625","670.40625"
"7438336","680.625","680.625","680.625"
"7454720","687.203125","687.203125","687.203125"
"7471104","690.6875","690.6875","690.6875"
"7487488","687.390625","687.390625","687.390625"
"7503872","685.421875","685.421875","685.421875"
"7520256","686.3125","686.3125","686.3125"
"7536640","680.703125","680.703125","680.703125"
"7553024","683.3203125","683.3203125","683.3203125"
"7569408","689.3828125","689.3828125","689.3828125"
"7585792","683.7890625","683.7890625","683.7890625"
"7602176","701.4609375","701.4609375","701.4609375"
"7618560","698.703125","698.703125","698.703125"
"7634944","702.7421875","702.7421875","702.7421875"
"7651328","695.9609375","695.9609375","695.9609375"
"7667712","702.2890625","702.2890625","702.2890625"
"7684096","691.1875","691.1875","691.1875"
"7700480","687.2734375","687.2734375","687.2734375"
"7716864","673.265625","673.265625","673.265625"
"7733248","679.1640625","679.1640625","679.1640625"
"7749632","679.75","679.75","679.75"
"7766016","679.9453125","679.9453125","679.9453125"
"7782400","679.1484375","679.1484375","679.1484375"
"7798784","682.5078125","682.5078125","682.5078125"
"7815168","690.2109375","690.2109375","690.2109375"
"7831552","682.96875","682.96875","682.96875"
"7847936","685","685","685"
"7864320","688.1328125","688.1328125","688.1328125"
"7880704","677.3671875","677.3671875","677.3671875"
"7897088","677.2109375","677.2109375","677.2109375"
"7913472","683.640625","683.640625","683.640625"
"7929856","674.921875","674.921875","674.921875"
"7946240","684.765625","684.765625","684.765625"
"7962624","684.2265625","684.2265625","684.2265625"
"7979008","689.4921875","689.4921875","689.4921875"
"7995392","685.0078125","685.0078125","685.0078125"
"8011776","692.6171875","692.6171875","692.6171875"
"8028160","684.8671875","684.8671875","684.8671875"
"8044544","696.3671875","696.3671875","696.3671875"
"8060928","690.6640625","690.6640625","690.6640625"
"8077312","688.5703125","688.5703125","688.5703125"
"8093696","692","692","692"
"8110080","692.6328125","692.6328125","692.6328125"
"8126464","680.7578125","680.7578125","680.7578125"
"8142848","677.375","677.375","677.375"
"8159232","671.7265625","671.7265625","671.7265625"
"8175616","673.734375","673.734375","673.734375"
"8192000","657.3203125","657.3203125","657.3203125"
"8208384","668.3359375","668.3359375","668.3359375"
"8224768","664.6328125","664.6328125","664.6328125"
"8241152","655.2578125","655.2578125","655.2578125"
"8257536","650.3203125","650.3203125","650.3203125"
"8273920","667.4140625","667.4140625","667.4140625"
"8290304","670.640625","670.640625","670.640625"
"8306688","670.6328125","670.6328125","670.6328125"
"8323072","686.890625","686.890625","686.890625"
"8339456","702.53125","702.53125","702.53125"
"8355840","696.15625","696.15625","696.15625"
"8372224","695.0234375","695.0234375","695.0234375"
"8388608","694.0546875","694.0546875","694.0546875"
"8404992","696.3828125","696.3828125","696.3828125"
"8421376","687.0234375","687.0234375","687.0234375"
"8437760","698.0390625","698.0390625","698.0390625"
"8454144","702.828125","702.828125","702.828125"
"8470528","689.5390625","689.5390625","689.5390625"
"8486912","684.9453125","684.9453125","684.9453125"
"8503296","681.0234375","681.0234375","681.0234375"
"8519680","667.609375","667.609375","667.609375"
"8536064","658.53125","658.53125","658.53125"
"8552448","657.578125","657.578125","657.578125"
