"Step","TrajLen","Alien-v5 PPO NoisyNet - charts/traj_len__MIN","Alien-v5 PPO NoisyNet - charts/traj_len__MAX"
"4538368","479.140625","479.140625","479.140625"
"4554752","482.2734375","482.2734375","482.2734375"
"4571136","485.6484375","485.6484375","485.6484375"
"4587520","493.0625","493.0625","493.0625"
"4603904","497.921875","497.921875","497.921875"
"4620288","512.21875","512.21875","512.21875"
"4636672","510.625","510.625","510.625"
"4653056","501.5078125","501.5078125","501.5078125"
"4669440","492.6328125","492.6328125","492.6328125"
"4685824","493.8828125","493.8828125","493.8828125"
"4702208","496.9296875","496.9296875","496.9296875"
"4718592","497.8671875","497.8671875","497.8671875"
"4734976","495.828125","495.828125","495.828125"
"4751360","492.890625","492.890625","492.890625"
"4767744","495.9375","495.9375","495.9375"
"4784128","510.3203125","510.3203125","510.3203125"
"4800512","500.359375","500.359375","500.359375"
"4816896","506.09375","506.09375","506.09375"
"4833280","514.2890625","514.2890625","514.2890625"
"4849664","511.671875","511.671875","511.671875"
"4866048","513.1484375","513.1484375","513.1484375"
"4882432","521.0703125","521.0703125","521.0703125"
"4898816","523.59375","523.59375","523.59375"
"4915200","513.5859375","513.5859375","513.5859375"
"4931584","508.3203125","508.3203125","508.3203125"
"4947968","520.6484375","520.6484375","520.6484375"
"4964352","519.1328125","519.1328125","519.1328125"
"4980736","527.671875","527.671875","527.671875"
"4997120","518.4296875","518.4296875","518.4296875"
"5013504","516.75","516.75","516.75"
"5029888","507.6484375","507.6484375","507.6484375"
"5046272","494.2890625","494.2890625","494.2890625"
"5062656","501.0390625","501.0390625","501.0390625"
"5079040","510.921875","510.921875","510.921875"
"5095424","524.53125","524.53125","524.53125"
"5111808","519.9921875","519.9921875","519.9921875"
"5128192","515.765625","515.765625","515.765625"
"5144576","508.84375","508.84375","508.84375"
"5160960","510.4765625","510.4765625","510.4765625"
"5177344","516.9140625","516.9140625","516.9140625"
"5193728","514.609375","514.609375","514.609375"
"5210112","506.8984375","506.8984375","506.8984375"
"5226496","505.2109375","505.2109375","505.2109375"
"5242880","507.5078125","507.5078125","507.5078125"
"5259264","509.1875","509.1875","509.1875"
"5275648","504.25","504.25","504.25"
"5292032","495.3984375","495.3984375","495.3984375"
"5308416","488.6875","488.6875","488.6875"
"5324800","489.890625","489.890625","489.890625"
"5341184","485.5625","485.5625","485.5625"
"5357568","501.1015625","501.1015625","501.1015625"
"5373952","506.3515625","506.3515625","506.3515625"
"5390336","520.390625","520.390625","520.390625"
"5406720","522.4375","522.4375","522.4375"
"5423104","511.09375","511.09375","511.09375"
"5439488","504.9765625","504.9765625","504.9765625"
"5455872","501.6484375","501.6484375","501.6484375"
"5472256","506.59375","506.59375","506.59375"
"5488640","518.5390625","518.5390625","518.5390625"
"5505024","528.046875","528.046875","528.046875"
"5521408","524.296875","524.296875","524.296875"
"5537792","515.5703125","515.5703125","515.5703125"
"5554176","514.4765625","514.4765625","514.4765625"
"5570560","506.7578125","506.7578125","506.7578125"
"5586944","506.0234375","506.0234375","506.0234375"
"5603328","506.53125","506.53125","506.53125"
"5619712","501.859375","501.859375","501.859375"
"5636096","498.578125","498.578125","498.578125"
"5652480","515.953125","515.953125","515.953125"
"5668864","516.25","516.25","516.25"
"5685248","535.4921875","535.4921875","535.4921875"
"5701632","533.09375","533.09375","533.09375"
"5718016","522.375","522.375","522.375"
"5734400","517.71875","517.71875","517.71875"
"5750784","507.0703125","507.0703125","507.0703125"
"5767168","504.78125","504.78125","504.78125"
"5783552","502.3828125","502.3828125","502.3828125"
"5799936","511.046875","511.046875","511.046875"
"5816320","516.046875","516.046875","516.046875"
"5832704","519.0078125","519.0078125","519.0078125"
"5849088","512.6484375","512.6484375","512.6484375"
"5865472","529.828125","529.828125","529.828125"
"5881856","540.7421875","540.7421875","540.7421875"
"5898240","550.53125","550.53125","550.53125"
"5914624","554.96875","554.96875","554.96875"
"5931008","551.859375","551.859375","551.859375"
"5947392","545.484375","545.484375","545.484375"
"5963776","540.8828125","540.8828125","540.8828125"
"5980160","544.984375","544.984375","544.984375"
"5996544","541.234375","541.234375","541.234375"
"6012928","534.7109375","534.7109375","534.7109375"
"6029312","528.8125","528.8125","528.8125"
"6045696","542.28125","542.28125","542.28125"
"6062080","552.6796875","552.6796875","552.6796875"
"6078464","561","561","561"
"6094848","574.03125","574.03125","574.03125"
"6111232","579.5703125","579.5703125","579.5703125"
"6127616","579.4453125","579.4453125","579.4453125"
"6144000","585.234375","585.234375","585.234375"
"6160384","598.34375","598.34375","598.34375"
"6176768","597.2578125","597.2578125","597.2578125"
"6193152","597.921875","597.921875","597.921875"
"6209536","607.0390625","607.0390625","607.0390625"
"6225920","594.9609375","594.9609375","594.9609375"
"6242304","581.7421875","581.7421875","581.7421875"
"6258688","576.65625","576.65625","576.65625"
"6275072","563.65625","563.65625","563.65625"
"6291456","569.6171875","569.6171875","569.6171875"
"6307840","582.28125","582.28125","582.28125"
"6324224","579.0390625","579.0390625","579.0390625"
"6340608","574.2421875","574.2421875","574.2421875"
"6356992","573.84375","573.84375","573.84375"
"6373376","560.78125","560.78125","560.78125"
"6389760","561.953125","561.953125","561.953125"
"6406144","581.421875","581.421875","581.421875"
"6422528","595.8359375","595.8359375","595.8359375"
"6438912","598.8984375","598.8984375","598.8984375"
"6455296","602.640625","602.640625","602.640625"
"6471680","602.4375","602.4375","602.4375"
"6488064","591.828125","591.828125","591.828125"
"6504448","581.9765625","581.9765625","581.9765625"
"6520832","572.421875","572.421875","572.421875"
"6537216","567.7578125","567.7578125","567.7578125"
"6553600","552.0859375","552.0859375","552.0859375"
"6569984","561.640625","561.640625","561.640625"
"6586368","560.3359375","560.3359375","560.3359375"
"6602752","560.5","560.5","560.5"
"6619136","572.3984375","572.3984375","572.3984375"
"6635520","563.5078125","563.5078125","563.5078125"
"6651904","567.5","567.5","567.5"
"6668288","562.8984375","562.8984375","562.8984375"
"6684672","559.4921875","559.4921875","559.4921875"
"6701056","556.9140625","556.9140625","556.9140625"
"6717440","551.6015625","551.6015625","551.6015625"
"6733824","548.1875","548.1875","548.1875"
"6750208","547.21875","547.21875","547.21875"
"6766592","549.3828125","549.3828125","549.3828125"
"6782976","549.796875","549.796875","549.796875"
"6799360","551.546875","551.546875","551.546875"
"6815744","550.65625","550.65625","550.65625"
"6832128","551.0703125","551.0703125","551.0703125"
"6848512","546.9609375","546.9609375","546.9609375"
"6864896","556.0078125","556.0078125","556.0078125"
"6881280","549.9765625","549.9765625","549.9765625"
"6897664","546.1171875","546.1171875","546.1171875"
"6914048","549.109375","549.109375","549.109375"
"6930432","542.7734375","542.7734375","542.7734375"
"6946816","540.265625","540.265625","540.265625"
"6963200","547.046875","547.046875","547.046875"
"6979584","550.1484375","550.1484375","550.1484375"
"6995968","545.4140625","545.4140625","545.4140625"
"7012352","547.65625","547.65625","547.65625"
"7028736","546.8203125","546.8203125","546.8203125"
"7045120","553.34375","553.34375","553.34375"
"7061504","557.8125","557.8125","557.8125"
"7077888","556.59375","556.59375","556.59375"
"7094272","549.359375","549.359375","549.359375"
"7110656","542.46875","542.46875","542.46875"
"7127040","537.8125","537.8125","537.8125"
"7143424","526.734375","526.734375","526.734375"
"7159808","533.671875","533.671875","533.671875"
"7176192","537.4609375","537.4609375","537.4609375"
"7192576","534.609375","534.609375","534.609375"
"7208960","542.7109375","542.7109375","542.7109375"
"7225344","548.515625","548.515625","548.515625"
"7241728","548.5234375","548.5234375","548.5234375"
"7258112","547.5703125","547.5703125","547.5703125"
"7274496","556.9921875","556.9921875","556.9921875"
"7290880","557.4609375","557.4609375","557.4609375"
"7307264","558.171875","558.171875","558.171875"
"7323648","557.5859375","557.5859375","557.5859375"
"7340032","552.828125","552.828125","552.828125"
"7356416","547.2734375","547.2734375","547.2734375"
"7372800","539.7265625","539.7265625","539.7265625"
"7389184","544.3046875","544.3046875","544.3046875"
"7405568","544.7734375","544.7734375","544.7734375"
"7421952","543.8984375","543.8984375","543.8984375"
"7438336","547.03125","547.03125","547.03125"
"7454720","545.2421875","545.2421875","545.2421875"
"7471104","545.8125","545.8125","545.8125"
"7487488","542.265625","542.265625","542.265625"
"7503872","543.6171875","543.6171875","543.6171875"
"7520256","545.296875","545.296875","545.296875"
"7536640","543.6796875","543.6796875","543.6796875"
"7553024","543.734375","543.734375","543.734375"
"7569408","545.78125","545.78125","545.78125"
"7585792","540.71875","540.71875","540.71875"
"7602176","544.3984375","544.3984375","544.3984375"
"7618560","550.8671875","550.8671875","550.8671875"
"7634944","548.1015625","548.1015625","548.1015625"
"7651328","546.8046875","546.8046875","546.8046875"
"7667712","535.8828125","535.8828125","535.8828125"
"7684096","533.2890625","533.2890625","533.2890625"
"7700480","528.90625","528.90625","528.90625"
"7716864","531.375","531.375","531.375"
"7733248","537.328125","537.328125","537.328125"
"7749632","532.09375","532.09375","532.09375"
"7766016","537.2734375","537.2734375","537.2734375"
"7782400","543.8125","543.8125","543.8125"
"7798784","545.3125","545.3125","545.3125"
"7815168","547.640625","547.640625","547.640625"
"7831552","552.0625","552.0625","552.0625"
"7847936","549.171875","549.171875","549.171875"
"7864320","545.3203125","545.3203125","545.3203125"
"7880704","542.1640625","542.1640625","542.1640625"
"7897088","540.234375","540.234375","540.234375"
"7913472","546.796875","546.796875","546.796875"
"7929856","542.84375","542.84375","542.84375"
"7946240","545.828125","545.828125","545.828125"
"7962624","544.2421875","544.2421875","544.2421875"
"7979008","546.421875","546.421875","546.421875"
"7995392","547.2890625","547.2890625","547.2890625"
"8011776","539.3515625","539.3515625","539.3515625"
"8028160","539.3359375","539.3359375","539.3359375"
"8044544","536.734375","536.734375","536.734375"
"8060928","531.890625","531.890625","531.890625"
"8077312","535.59375","535.59375","535.59375"
"8093696","539.75","539.75","539.75"
"8110080","546.5390625","546.5390625","546.5390625"
"8126464","541.8046875","541.8046875","541.8046875"
"8142848","536.9453125","536.9453125","536.9453125"
"8159232","534.28125","534.28125","534.28125"
"8175616","524.890625","524.890625","524.890625"
"8192000","526.8671875","526.8671875","526.8671875"
"8208384","534.4375","534.4375","534.4375"
"8224768","522.15625","522.15625","522.15625"
"8241152","520.203125","520.203125","520.203125"
"8257536","525.296875","525.296875","525.296875"
"8273920","524.4296875","524.4296875","524.4296875"
"8290304","533.40625","533.40625","533.40625"
"8306688","539.4453125","539.4453125","539.4453125"
"8323072","543.7265625","543.7265625","543.7265625"
"8339456","538.6015625","538.6015625","538.6015625"
"8355840","542.0703125","542.0703125","542.0703125"
"8372224","533.828125","533.828125","533.828125"
"8388608","531.2734375","531.2734375","531.2734375"
"8404992","529.7421875","529.7421875","529.7421875"
"8421376","524.9296875","524.9296875","524.9296875"
"8437760","518.328125","518.328125","518.328125"
"8454144","519.3828125","519.3828125","519.3828125"
"8470528","518.9765625","518.9765625","518.9765625"
"8486912","520.9140625","520.9140625","520.9140625"
"8503296","519.828125","519.828125","519.828125"
"8519680","524.2734375","524.2734375","524.2734375"
"8536064","522.3125","522.3125","522.3125"
"8552448","526.96875","526.96875","526.96875"
"8568832","522.4609375","522.4609375","522.4609375"
"8585216","525.0625","525.0625","525.0625"
"8601600","524.03125","524.03125","524.03125"
"8617984","524.6328125","524.6328125","524.6328125"
"8634368","529.9453125","529.9453125","529.9453125"
"8650752","530.265625","530.265625","530.265625"
"8667136","527.5703125","527.5703125","527.5703125"
"8683520","524.515625","524.515625","524.515625"
"8699904","527.015625","527.015625","527.015625"
"8716288","528.265625","528.265625","528.265625"
"8732672","524.2890625","524.2890625","524.2890625"
"8749056","523.1640625","523.1640625","523.1640625"
"8765440","516.9765625","516.9765625","516.9765625"
"8781824","509.1171875","509.1171875","509.1171875"
"8798208","517.421875","517.421875","517.421875"
"8814592","514.78125","514.78125","514.78125"
"8830976","524.2265625","524.2265625","524.2265625"
"8847360","527.859375","527.859375","527.859375"
"8863744","521.984375","521.984375","521.984375"
"8880128","525.4765625","525.4765625","525.4765625"
"8896512","527.109375","527.109375","527.109375"
"8912896","524.5546875","524.5546875","524.5546875"
"8929280","533.2265625","533.2265625","533.2265625"
"8945664","533.640625","533.640625","533.640625"
"8962048","528.9765625","528.9765625","528.9765625"
"8978432","529.171875","529.171875","529.171875"
"8994816","527.78125","527.78125","527.78125"
"9011200","522.2421875","522.2421875","522.2421875"
"9027584","529.0390625","529.0390625","529.0390625"
"9043968","530.03125","530.03125","530.03125"
"9060352","527.5","527.5","527.5"
"9076736","529.15625","529.15625","529.15625"
"9093120","521.7734375","521.7734375","521.7734375"
"9109504","517.46875","517.46875","517.46875"
"9125888","512.6484375","512.6484375","512.6484375"
"9142272","514.640625","514.640625","514.640625"
"9158656","509.28125","509.28125","509.28125"
"9175040","506.625","506.625","506.625"
"9191424","502.3671875","502.3671875","502.3671875"
"9207808","495.15625","495.15625","495.15625"
"9224192","495.1953125","495.1953125","495.1953125"
"9240576","498.53125","498.53125","498.53125"
"9256960","513.2578125","513.2578125","513.2578125"
"9273344","521.28125","521.28125","521.28125"
"9289728","528.1875","528.1875","528.1875"
"9306112","534.40625","534.40625","534.40625"
"9322496","528.25","528.25","528.25"
"9338880","526.21875","526.21875","526.21875"
"9355264","529.3984375","529.3984375","529.3984375"
"9371648","533.078125","533.078125","533.078125"
"9388032","534.0390625","534.0390625","534.0390625"
"9404416","529.3671875","529.3671875","529.3671875"
"9420800","523.1484375","523.1484375","523.1484375"
"9437184","518.1640625","518.1640625","518.1640625"
"9453568","519.921875","519.921875","519.921875"
"9469952","523.453125","523.453125","523.453125"
"9486336","527.046875","527.046875","527.046875"
"9502720","523.0546875","523.0546875","523.0546875"
"9519104","520.53125","520.53125","520.53125"
"9535488","519.2734375","519.2734375","519.2734375"
"9551872","520.1640625","520.1640625","520.1640625"
"9568256","528.859375","528.859375","528.859375"
"9584640","527.6484375","527.6484375","527.6484375"
"9601024","518.8828125","518.8828125","518.8828125"
"9617408","508.234375","508.234375","508.234375"
"9633792","497.984375","497.984375","497.984375"
"9650176","505.8671875","505.8671875","505.8671875"
"9666560","506.8984375","506.8984375","506.8984375"
"9682944","507.3203125","507.3203125","507.3203125"
"9699328","509.8203125","509.8203125","509.8203125"
"9715712","496.2109375","496.2109375","496.2109375"
"9732096","499.3359375","499.3359375","499.3359375"
"9748480","501.21875","501.21875","501.21875"
"9764864","503.1640625","503.1640625","503.1640625"
"9781248","504.2265625","504.2265625","504.2265625"
"9797632","504.640625","504.640625","504.640625"
"9814016","505.7109375","505.7109375","505.7109375"
"9830400","509.0625","509.0625","509.0625"
"9846784","506.4453125","506.4453125","506.4453125"
"9863168","503.015625","503.015625","503.015625"
"9879552","515.390625","515.390625","515.390625"
"9895936","519.2421875","519.2421875","519.2421875"
"9912320","525.5078125","525.5078125","525.5078125"
"9928704","529.3671875","529.3671875","529.3671875"
"9945088","515.9453125","515.9453125","515.9453125"
"9961472","510.1640625","510.1640625","510.1640625"
"9977856","510.8046875","510.8046875","510.8046875"
"9994240","507.3828125","507.3828125","507.3828125"
"10010624","506.703125","506.703125","506.703125"
"10027008","514.3359375","514.3359375","514.3359375"
"10043392","504.0859375","504.0859375","504.0859375"
"10059776","505.6171875","505.6171875","505.6171875"
"10076160","504.1171875","504.1171875","504.1171875"
"10092544","503.890625","503.890625","503.890625"
"10108928","512.625","512.625","512.625"
"10125312","514.3046875","514.3046875","514.3046875"
"10141696","502.9375","502.9375","502.9375"
"10158080","502.0546875","502.0546875","502.0546875"
