"Step","TrajLen","Alien-v5__ppo_rnd_envpool - charts/traj_len__MIN","Alien-v5__ppo_rnd_envpool - charts/traj_len__MAX"
"5521408","655.7578125","655.7578125","655.7578125"
"5537792","653.3828125","653.3828125","653.3828125"
"5554176","660.9453125","660.9453125","660.9453125"
"5570560","659.7421875","659.7421875","659.7421875"
"5586944","666.015625","666.015625","666.015625"
"5603328","665.3046875","665.3046875","665.3046875"
"5619712","663.578125","663.578125","663.578125"
"5636096","659.609375","659.609375","659.609375"
"5652480","667.1953125","667.1953125","667.1953125"
"5668864","667.1171875","667.1171875","667.1171875"
"5685248","661.4453125","661.4453125","661.4453125"
"5701632","667.0859375","667.0859375","667.0859375"
"5718016","668.0078125","668.0078125","668.0078125"
"5734400","667.6796875","667.6796875","667.6796875"
"5750784","665.5078125","665.5078125","665.5078125"
"5767168","675.2265625","675.2265625","675.2265625"
"5783552","678.21875","678.21875","678.21875"
"5799936","673.0625","673.0625","673.0625"
"5816320","670.359375","670.359375","670.359375"
"5832704","681.6796875","681.6796875","681.6796875"
"5849088","676.6484375","676.6484375","676.6484375"
"5865472","671.703125","671.703125","671.703125"
"5881856","682.09375","682.09375","682.09375"
"5898240","679.515625","679.515625","679.515625"
"5914624","680.734375","680.734375","680.734375"
"5931008","679.9921875","679.9921875","679.9921875"
"5947392","681.5625","681.5625","681.5625"
"5963776","674.734375","674.734375","674.734375"
"5980160","680.125","680.125","680.125"
"5996544","679.28125","679.28125","679.28125"
"6012928","669.671875","669.671875","669.671875"
"6029312","676.203125","676.203125","676.203125"
"6045696","674.859375","674.859375","674.859375"
"6062080","667.96875","667.96875","667.96875"
"6078464","661.7421875","661.7421875","661.7421875"
"6094848","672.6015625","672.6015625","672.6015625"
"6111232","678.28125","678.28125","678.28125"
"6127616","679.7890625","679.7890625","679.7890625"
"6144000","686.7734375","686.7734375","686.7734375"
"6160384","692.8125","692.8125","692.8125"
"6176768","698.8984375","698.8984375","698.8984375"
"6193152","690.328125","690.328125","690.328125"
"6209536","700","700","700"
"6225920","694.40625","694.40625","694.40625"
"6242304","689.7578125","689.7578125","689.7578125"
"6258688","685.5546875","685.5546875","685.5546875"
"6275072","685.8359375","685.8359375","685.8359375"
"6291456","689.2578125","689.2578125","689.2578125"
"6307840","688.6328125","688.6328125","688.6328125"
"6324224","690.296875","690.296875","690.296875"
"6340608","691.4296875","691.4296875","691.4296875"
"6356992","686.4609375","686.4609375","686.4609375"
"6373376","672.296875","672.296875","672.296875"
"6389760","668.0625","668.0625","668.0625"
"6406144","671.03125","671.03125","671.03125"
"6422528","676.9375","676.9375","676.9375"
"6438912","676.421875","676.421875","676.421875"
"6455296","680.1328125","680.1328125","680.1328125"
"6471680","679.8515625","679.8515625","679.8515625"
"6488064","680.296875","680.296875","680.296875"
"6504448","674.8984375","674.8984375","674.8984375"
"6520832","675.390625","675.390625","675.390625"
"6537216","678.75","678.75","678.75"
"6553600","675.0546875","675.0546875","675.0546875"
"6569984","679.5234375","679.5234375","679.5234375"
"6586368","680.6171875","680.6171875","680.6171875"
"6602752","684.8828125","684.8828125","684.8828125"
"6619136","681.328125","681.328125","681.328125"
"6635520","685.7734375","685.7734375","685.7734375"
"6651904","685.796875","685.796875","685.796875"
"6668288","692.9140625","692.9140625","692.9140625"
"6684672","697.5859375","697.5859375","697.5859375"
"6701056","700.7109375","700.7109375","700.7109375"
"6717440","703","703","703"
"6733824","698.9140625","698.9140625","698.9140625"
"6750208","694.9921875","694.9921875","694.9921875"
"6766592","686.1875","686.1875","686.1875"
"6782976","694.5078125","694.5078125","694.5078125"
"6799360","688.8046875","688.8046875","688.8046875"
"6815744","683.40625","683.40625","683.40625"
"6832128","688.265625","688.265625","688.265625"
"6848512","687.078125","687.078125","687.078125"
"6864896","671.296875","671.296875","671.296875"
"6881280","667.1796875","667.1796875","667.1796875"
"6897664","678.0859375","678.0859375","678.0859375"
"6914048","673.9140625","673.9140625","673.9140625"
"6930432","677.890625","677.890625","677.890625"
