"Step","TrajLen","Alien-v5__bootstrapRLE - charts/traj_len__MIN","Alien-v5__bootstrapRLE - charts/traj_len__MAX"
"6422528","833.1015625","833.1015625","833.1015625"
"6438912","823.6171875","823.6171875","823.6171875"
"6455296","828.171875","828.171875","828.171875"
"6471680","833.0234375","833.0234375","833.0234375"
"6488064","825.2421875","825.2421875","825.2421875"
"6504448","807.7734375","807.7734375","807.7734375"
"6520832","815.8203125","815.8203125","815.8203125"
"6537216","816.5390625","816.5390625","816.5390625"
"6553600","831.640625","831.640625","831.640625"
"6569984","827.8203125","827.8203125","827.8203125"
"6586368","820.890625","820.890625","820.890625"
"6602752","832.8203125","832.8203125","832.8203125"
"6619136","837.515625","837.515625","837.515625"
"6635520","835.0078125","835.0078125","835.0078125"
"6651904","829.125","829.125","829.125"
"6668288","824.1875","824.1875","824.1875"
"6684672","821.6015625","821.6015625","821.6015625"
"6701056","828.484375","828.484375","828.484375"
"6717440","826.78125","826.78125","826.78125"
"6733824","838.3671875","838.3671875","838.3671875"
"6750208","834.34375","834.34375","834.34375"
"6766592","836.3515625","836.3515625","836.3515625"
"6782976","843.234375","843.234375","843.234375"
"6799360","842.1875","842.1875","842.1875"
"6815744","826.6953125","826.6953125","826.6953125"
"6832128","820.8125","820.8125","820.8125"
"6848512","815.2734375","815.2734375","815.2734375"
"6864896","822.0390625","822.0390625","822.0390625"
"6881280","828.6953125","828.6953125","828.6953125"
"6897664","811.0859375","811.0859375","811.0859375"
"6914048","820.2578125","820.2578125","820.2578125"
"6930432","829.3203125","829.3203125","829.3203125"
"6946816","829.3515625","829.3515625","829.3515625"
"6963200","836.84375","836.84375","836.84375"
"6979584","829","829","829"
"6995968","844.671875","844.671875","844.671875"
"7012352","835.4375","835.4375","835.4375"
"7028736","842.1328125","842.1328125","842.1328125"
"7045120","829.3671875","829.3671875","829.3671875"
"7061504","821.3828125","821.3828125","821.3828125"
"7077888","814.6015625","814.6015625","814.6015625"
"7094272","808.34375","808.34375","808.34375"
