"Step","Score","Alien-v5__bootstrapRLE - charts/game_score__MIN","Alien-v5__bootstrapRLE - charts/game_score__MAX"
"3981312","704.53125","704.53125","704.53125"
"3997696","711.40625","711.40625","711.40625"
"4014080","722.34375","722.34375","722.34375"
"4030464","703.4375","703.4375","703.4375"
"4046848","720.78125","720.78125","720.78125"
"4063232","726.09375","726.09375","726.09375"
"4079616","747.890625","747.890625","747.890625"
"4096000","777.5","777.5","777.5"
"4112384","779.6875","779.6875","779.6875"
"4128768","802.8125","802.8125","802.8125"
"4145152","814.375","814.375","814.375"
"4161536","804.21875","804.21875","804.21875"
"4177920","800.9375","800.9375","800.9375"
"4194304","770","770","770"
"4210688","779.765625","779.765625","779.765625"
"4227072","766.640625","766.640625","766.640625"
"4243456","775.546875","775.546875","775.546875"
"4259840","803.203125","803.203125","803.203125"
"4276224","791.640625","791.640625","791.640625"
"4292608","816.71875","816.71875","816.71875"
"4308992","847.5","847.5","847.5"
"4325376","843.359375","843.359375","843.359375"
"4341760","878.359375","878.359375","878.359375"
"4358144","845.390625","845.390625","845.390625"
"4374528","819.84375","819.84375","819.84375"
"4390912","808.59375","808.59375","808.59375"
"4407296","779.375","779.375","779.375"
"4423680","771.40625","771.40625","771.40625"
"4440064","751.171875","751.171875","751.171875"
"4456448","752.5","752.5","752.5"
"4472832","759.21875","759.21875","759.21875"
"4489216","759.84375","759.84375","759.84375"
"4505600","798.671875","798.671875","798.671875"
"4521984","836.40625","836.40625","836.40625"
"4538368","868.4375","868.4375","868.4375"
"4554752","885.234375","885.234375","885.234375"
"4571136","905.78125","905.78125","905.78125"
"4587520","898.828125","898.828125","898.828125"
"4603904","862.65625","862.65625","862.65625"
"4620288","863.984375","863.984375","863.984375"
"4636672","844.296875","844.296875","844.296875"
"4653056","852.1875","852.1875","852.1875"
"4669440","855.9375","855.9375","855.9375"
"4685824","857.578125","857.578125","857.578125"
"4702208","857.578125","857.578125","857.578125"
"4718592","835.625","835.625","835.625"
"4734976","833.28125","833.28125","833.28125"
"4751360","824.140625","824.140625","824.140625"
"4767744","808.203125","808.203125","808.203125"
"4784128","808.046875","808.046875","808.046875"
"4800512","810.546875","810.546875","810.546875"
"4816896","815.15625","815.15625","815.15625"
"4833280","805.78125","805.78125","805.78125"
"4849664","804.921875","804.921875","804.921875"
"4866048","823.828125","823.828125","823.828125"
"4882432","816.015625","816.015625","816.015625"
"4898816","807.96875","807.96875","807.96875"
"4915200","811.09375","811.09375","811.09375"
"4931584","826.25","826.25","826.25"
"4947968","833.359375","833.359375","833.359375"
"4964352","823.828125","823.828125","823.828125"
"4980736","824.140625","824.140625","824.140625"
"4997120","814.296875","814.296875","814.296875"
"5013504","822.03125","822.03125","822.03125"
"5029888","834.0625","834.0625","834.0625"
"5046272","832.890625","832.890625","832.890625"
"5062656","841.875","841.875","841.875"
"5079040","837.109375","837.109375","837.109375"
"5095424","832.578125","832.578125","832.578125"
"5111808","836.71875","836.71875","836.71875"
"5128192","842.578125","842.578125","842.578125"
"5144576","825","825","825"
"5160960","830.234375","830.234375","830.234375"
"5177344","869.0625","869.0625","869.0625"
"5193728","886.640625","886.640625","886.640625"
"5210112","907.109375","907.109375","907.109375"
"5226496","884.296875","884.296875","884.296875"
"5242880","895.703125","895.703125","895.703125"
"5259264","914.296875","914.296875","914.296875"
"5275648","873.046875","873.046875","873.046875"
"5292032","884.140625","884.140625","884.140625"
"5308416","884.140625","884.140625","884.140625"
"5324800","902.578125","902.578125","902.578125"
"5341184","891.875","891.875","891.875"
"5357568","892.109375","892.109375","892.109375"
"5373952","890.9375","890.9375","890.9375"
"5390336","893.515625","893.515625","893.515625"
"5406720","871.953125","871.953125","871.953125"
"5423104","894.765625","894.765625","894.765625"
"5439488","907.265625","907.265625","907.265625"
"5455872","891.328125","891.328125","891.328125"
"5472256","912.734375","912.734375","912.734375"
"5488640","907.96875","907.96875","907.96875"
"5505024","897.1875","897.1875","897.1875"
"5521408","923.515625","923.515625","923.515625"
"5537792","916.484375","916.484375","916.484375"
"5554176","946.328125","946.328125","946.328125"
"5570560","934.53125","934.53125","934.53125"
"5586944","938.75","938.75","938.75"
"5603328","955.9375","955.9375","955.9375"
"5619712","914.296875","914.296875","914.296875"
"5636096","910.078125","910.078125","910.078125"
"5652480","887.03125","887.03125","887.03125"
"5668864","876.484375","876.484375","876.484375"
"5685248","876.640625","876.640625","876.640625"
"5701632","912.421875","912.421875","912.421875"
"5718016","924.921875","924.921875","924.921875"
"5734400","931.328125","931.328125","931.328125"
"5750784","923.28125","923.28125","923.28125"
"5767168","907.65625","907.65625","907.65625"
"5783552","922.265625","922.265625","922.265625"
"5799936","869.21875","869.21875","869.21875"
"5816320","891.328125","891.328125","891.328125"
"5832704","889.21875","889.21875","889.21875"
"5849088","886.5625","886.5625","886.5625"
"5865472","910.3125","910.3125","910.3125"
"5881856","905.703125","905.703125","905.703125"
"5898240","929.921875","929.921875","929.921875"
"5914624","928.671875","928.671875","928.671875"
"5931008","938.4375","938.4375","938.4375"
"5947392","945.859375","945.859375","945.859375"
"5963776","954.0625","954.0625","954.0625"
"5980160","946.40625","946.40625","946.40625"
"5996544","934.53125","934.53125","934.53125"
"6012928","918.125","918.125","918.125"
"6029312","893.59375","893.59375","893.59375"
"6045696","883.828125","883.828125","883.828125"
"6062080","872.578125","872.578125","872.578125"
"6078464","877.734375","877.734375","877.734375"
"6094848","887.421875","887.421875","887.421875"
"6111232","914.375","914.375","914.375"
"6127616","947.421875","947.421875","947.421875"
"6144000","981.640625","981.640625","981.640625"
"6160384","1004.21875","1004.21875","1004.21875"
"6176768","1000","1000","1000"
"6193152","1023.4375","1023.4375","1023.4375"
"6209536","1021.328125","1021.328125","1021.328125"
"6225920","999.453125","999.453125","999.453125"
"6242304","987.34375","987.34375","987.34375"
"6258688","974.0625","974.0625","974.0625"
"6275072","979.296875","979.296875","979.296875"
"6291456","941.5625","941.5625","941.5625"
"6307840","944.6875","944.6875","944.6875"
"6324224","952.96875","952.96875","952.96875"
"6340608","934.921875","934.921875","934.921875"
"6356992","936.796875","936.796875","936.796875"
"6373376","955.78125","955.78125","955.78125"
"6389760","939.140625","939.140625","939.140625"
"6406144","945.859375","945.859375","945.859375"
"6422528","937.34375","937.34375","937.34375"
"6438912","921.09375","921.09375","921.09375"
"6455296","924.6875","924.6875","924.6875"
"6471680","912.65625","912.65625","912.65625"
"6488064","932.65625","932.65625","932.65625"
"6504448","930.3125","930.3125","930.3125"
"6520832","925.859375","925.859375","925.859375"
"6537216","950.46875","950.46875","950.46875"
"6553600","961.015625","961.015625","961.015625"
"6569984","959.21875","959.21875","959.21875"
"6586368","970","970","970"
"6602752","982.421875","982.421875","982.421875"
"6619136","994.6875","994.6875","994.6875"
"6635520","1006.5625","1006.5625","1006.5625"
"6651904","1001.796875","1001.796875","1001.796875"
"6668288","1025.390625","1025.390625","1025.390625"
"6684672","1015.078125","1015.078125","1015.078125"
