"Step","Score","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MIN","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MAX"
"4603904","669.0625","669.0625","669.0625"
"4620288","662.1875","662.1875","662.1875"
"4636672","674.21875","674.21875","674.21875"
"4653056","677.5","677.5","677.5"
"4669440","687.1875","687.1875","687.1875"
"4685824","690.859375","690.859375","690.859375"
"4702208","689.21875","689.21875","689.21875"
"4718592","656.40625","656.40625","656.40625"
"4734976","679.21875","679.21875","679.21875"
"4751360","733.4375","733.4375","733.4375"
"4767744","733.90625","733.90625","733.90625"
"4784128","731.796875","731.796875","731.796875"
"4800512","747.578125","747.578125","747.578125"
"4816896","712.890625","712.890625","712.890625"
"4833280","679.53125","679.53125","679.53125"
"4849664","674.84375","674.84375","674.84375"
"4866048","675.859375","675.859375","675.859375"
"4882432","690.46875","690.46875","690.46875"
"4898816","671.875","671.875","671.875"
"4915200","676.09375","676.09375","676.09375"
"4931584","666.953125","666.953125","666.953125"
"4947968","658.984375","658.984375","658.984375"
"4964352","656.640625","656.640625","656.640625"
"4980736","656.640625","656.640625","656.640625"
"4997120","702.96875","702.96875","702.96875"
"5013504","735.46875","735.46875","735.46875"
"5029888","742.890625","742.890625","742.890625"
"5046272","756.484375","756.484375","756.484375"
"5062656","741.796875","741.796875","741.796875"
"5079040","723.046875","723.046875","723.046875"
"5095424","711.875","711.875","711.875"
"5111808","716.09375","716.09375","716.09375"
"5128192","705.15625","705.15625","705.15625"
"5144576","727.5","727.5","727.5"
"5160960","729.21875","729.21875","729.21875"
"5177344","732.96875","732.96875","732.96875"
"5193728","713.75","713.75","713.75"
"5210112","706.5625","706.5625","706.5625"
"5226496","685.15625","685.15625","685.15625"
"5242880","698.046875","698.046875","698.046875"
"5259264","684.84375","684.84375","684.84375"
"5275648","695.3125","695.3125","695.3125"
"5292032","678.125","678.125","678.125"
"5308416","688.125","688.125","688.125"
"5324800","662.8125","662.8125","662.8125"
"5341184","675.15625","675.15625","675.15625"
"5357568","658.59375","658.59375","658.59375"
"5373952","661.171875","661.171875","661.171875"
"5390336","660.46875","660.46875","660.46875"
"5406720","663.359375","663.359375","663.359375"
"5423104","691.328125","691.328125","691.328125"
"5439488","703.125","703.125","703.125"
"5455872","714.375","714.375","714.375"
"5472256","752.578125","752.578125","752.578125"
"5488640","737.734375","737.734375","737.734375"
"5505024","744.140625","744.140625","744.140625"
"5521408","748.828125","748.828125","748.828125"
"5537792","761.953125","761.953125","761.953125"
"5554176","742.734375","742.734375","742.734375"
"5570560","750.78125","750.78125","750.78125"
"5586944","760.46875","760.46875","760.46875"
"5603328","740.078125","740.078125","740.078125"
"5619712","745.3125","745.3125","745.3125"
"5636096","716.25","716.25","716.25"
"5652480","716.09375","716.09375","716.09375"
"5668864","712.34375","712.34375","712.34375"
"5685248","719.375","719.375","719.375"
"5701632","713.671875","713.671875","713.671875"
"5718016","717.265625","717.265625","717.265625"
"5734400","741.953125","741.953125","741.953125"
"5750784","741.015625","741.015625","741.015625"
"5767168","767.5","767.5","767.5"
"5783552","766.40625","766.40625","766.40625"
"5799936","757.34375","757.34375","757.34375"
"5816320","752.1875","752.1875","752.1875"
"5832704","760.78125","760.78125","760.78125"
"5849088","735.15625","735.15625","735.15625"
"5865472","747.734375","747.734375","747.734375"
"5881856","754.921875","754.921875","754.921875"
"5898240","737.1875","737.1875","737.1875"
"5914624","738.359375","738.359375","738.359375"
"5931008","710.78125","710.78125","710.78125"
"5947392","705.78125","705.78125","705.78125"
"5963776","675.234375","675.234375","675.234375"
"5980160","644.921875","644.921875","644.921875"
"5996544","653.046875","653.046875","653.046875"
"6012928","658.359375","658.359375","658.359375"
"6029312","639.375","639.375","639.375"
"6045696","650.78125","650.78125","650.78125"
"6062080","671.171875","671.171875","671.171875"
"6078464","691.796875","691.796875","691.796875"
"6094848","675.9375","675.9375","675.9375"
"6111232","718.203125","718.203125","718.203125"
"6127616","710.46875","710.46875","710.46875"
"6144000","694.21875","694.21875","694.21875"
"6160384","693.046875","693.046875","693.046875"
"6176768","679.140625","679.140625","679.140625"
"6193152","681.328125","681.328125","681.328125"
