"Step","Score","Alien-v5__ppo_rnd_envpool - charts/game_score__MIN","Alien-v5__ppo_rnd_envpool - charts/game_score__MAX"
"3063808","281.09375","281.09375","281.09375"
"3080192","277.109375","277.109375","277.109375"
"3096576","283.203125","283.203125","283.203125"
"3112960","283.671875","283.671875","283.671875"
"3129344","286.328125","286.328125","286.328125"
"3145728","285.625","285.625","285.625"
"3162112","286.71875","286.71875","286.71875"
"3178496","286.71875","286.71875","286.71875"
"3194880","286.09375","286.09375","286.09375"
"3211264","287.8125","287.8125","287.8125"
"3227648","282.96875","282.96875","282.96875"
"3244032","282.5","282.5","282.5"
"3260416","285.390625","285.390625","285.390625"
"3276800","279.0625","279.0625","279.0625"
"3293184","277.734375","277.734375","277.734375"
"3309568","285","285","285"
"3325952","282.265625","282.265625","282.265625"
"3342336","283.984375","283.984375","283.984375"
"3358720","285","285","285"
"3375104","288.4375","288.4375","288.4375"
"3391488","290.546875","290.546875","290.546875"
"3407872","289.140625","289.140625","289.140625"
"3424256","291.71875","291.71875","291.71875"
"3440640","295.78125","295.78125","295.78125"
"3457024","293.515625","293.515625","293.515625"
"3473408","291.25","291.25","291.25"
"3489792","298.984375","298.984375","298.984375"
"3506176","287.96875","287.96875","287.96875"
"3522560","289.53125","289.53125","289.53125"
"3538944","298.28125","298.28125","298.28125"
"3555328","300.859375","300.859375","300.859375"
"3571712","298.4375","298.4375","298.4375"
"3588096","298.90625","298.90625","298.90625"
"3604480","298.046875","298.046875","298.046875"
"3620864","295.625","295.625","295.625"
"3637248","297.890625","297.890625","297.890625"
"3653632","299.296875","299.296875","299.296875"
"3670016","297.109375","297.109375","297.109375"
"3686400","289.84375","289.84375","289.84375"
"3702784","289.140625","289.140625","289.140625"
"3719168","286.09375","286.09375","286.09375"
"3735552","283.515625","283.515625","283.515625"
"3751936","284.0625","284.0625","284.0625"
"3768320","295.703125","295.703125","295.703125"
"3784704","294.53125","294.53125","294.53125"
"3801088","303.671875","303.671875","303.671875"
"3817472","311.796875","311.796875","311.796875"
"3833856","318.828125","318.828125","318.828125"
"3850240","314.296875","314.296875","314.296875"
"3866624","302.578125","302.578125","302.578125"
"3883008","304.6875","304.6875","304.6875"
"3899392","300.78125","300.78125","300.78125"
"3915776","300.703125","300.703125","300.703125"
"3932160","302.65625","302.65625","302.65625"
"3948544","303.59375","303.59375","303.59375"
"3964928","305.703125","305.703125","305.703125"
"3981312","309.921875","309.921875","309.921875"
"3997696","299.375","299.375","299.375"
"4014080","294.21875","294.21875","294.21875"
"4030464","294.453125","294.453125","294.453125"
"4046848","284.0625","284.0625","284.0625"
"4063232","297.578125","297.578125","297.578125"
"4079616","298.359375","298.359375","298.359375"
"4096000","299.375","299.375","299.375"
"4112384","309.296875","309.296875","309.296875"
"4128768","311.71875","311.71875","311.71875"
"4145152","309.0625","309.0625","309.0625"
"4161536","326.875","326.875","326.875"
"4177920","313.984375","313.984375","313.984375"
"4194304","319.921875","319.921875","319.921875"
"4210688","328.671875","328.671875","328.671875"
"4227072","341.953125","341.953125","341.953125"
"4243456","335.78125","335.78125","335.78125"
"4259840","345.703125","345.703125","345.703125"
"4276224","335.78125","335.78125","335.78125"
"4292608","341.40625","341.40625","341.40625"
"4308992","327.578125","327.578125","327.578125"
"4325376","312.8125","312.8125","312.8125"
"4341760","309.921875","309.921875","309.921875"
"4358144","308.671875","308.671875","308.671875"
"4374528","308.828125","308.828125","308.828125"
"4390912","316.5625","316.5625","316.5625"
"4407296","325.78125","325.78125","325.78125"
"4423680","317.5","317.5","317.5"
"4440064","327.5","327.5","327.5"
"4456448","324.84375","324.84375","324.84375"
"4472832","325.78125","325.78125","325.78125"
"4489216","338.515625","338.515625","338.515625"
"4505600","335.9375","335.9375","335.9375"
"4521984","341.328125","341.328125","341.328125"
"4538368","371.015625","371.015625","371.015625"
"4554752","363.671875","363.671875","363.671875"
"4571136","355.15625","355.15625","355.15625"
"4587520","339.84375","339.84375","339.84375"
"4603904","328.4375","328.4375","328.4375"
"4620288","309.0625","309.0625","309.0625"
"4636672","318.515625","318.515625","318.515625"
"4653056","324.609375","324.609375","324.609375"
"4669440","333.90625","333.90625","333.90625"
"4685824","344.6875","344.6875","344.6875"
"4702208","343.28125","343.28125","343.28125"
"4718592","347.265625","347.265625","347.265625"
"4734976","346.40625","346.40625","346.40625"
"4751360","359.375","359.375","359.375"
"4767744","367.1875","367.1875","367.1875"
"4784128","383.515625","383.515625","383.515625"
"4800512","395.546875","395.546875","395.546875"
"4816896","400.78125","400.78125","400.78125"
"4833280","399.296875","399.296875","399.296875"
"4849664","400.3125","400.3125","400.3125"
"4866048","402.734375","402.734375","402.734375"
"4882432","370.234375","370.234375","370.234375"
"4898816","374.296875","374.296875","374.296875"
"4915200","357.5","357.5","357.5"
"4931584","366.40625","366.40625","366.40625"
"4947968","373.4375","373.4375","373.4375"
"4964352","368.203125","368.203125","368.203125"
"4980736","364.453125","364.453125","364.453125"
"4997120","361.40625","361.40625","361.40625"
"5013504","370.3125","370.3125","370.3125"
"5029888","364.84375","364.84375","364.84375"
"5046272","379.296875","379.296875","379.296875"
"5062656","385.703125","385.703125","385.703125"
"5079040","394.921875","394.921875","394.921875"
"5095424","388.125","388.125","388.125"
"5111808","389.453125","389.453125","389.453125"
"5128192","384.0625","384.0625","384.0625"
"5144576","383.203125","383.203125","383.203125"
"5160960","370","370","370"
"5177344","371.484375","371.484375","371.484375"
"5193728","369.921875","369.921875","369.921875"
"5210112","368.203125","368.203125","368.203125"
"5226496","379.140625","379.140625","379.140625"
"5242880","403.046875","403.046875","403.046875"
"5259264","412.34375","412.34375","412.34375"
"5275648","414.140625","414.140625","414.140625"
"5292032","429.765625","429.765625","429.765625"
"5308416","421.953125","421.953125","421.953125"
"5324800","416.796875","416.796875","416.796875"
"5341184","394.375","394.375","394.375"
"5357568","383.671875","383.671875","383.671875"
"5373952","381.171875","381.171875","381.171875"
"5390336","382.734375","382.734375","382.734375"
"5406720","386.5625","386.5625","386.5625"
"5423104","383.203125","383.203125","383.203125"
"5439488","389.296875","389.296875","389.296875"
"5455872","406.796875","406.796875","406.796875"
"5472256","419.375","419.375","419.375"
"5488640","412.1875","412.1875","412.1875"
"5505024","418.359375","418.359375","418.359375"
"5521408","424.53125","424.53125","424.53125"
"5537792","404.140625","404.140625","404.140625"
"5554176","401.5625","401.5625","401.5625"
"5570560","403.359375","403.359375","403.359375"
"5586944","399.21875","399.21875","399.21875"
"5603328","388.90625","388.90625","388.90625"
"5619712","393.90625","393.90625","393.90625"
"5636096","392.65625","392.65625","392.65625"
"5652480","402.265625","402.265625","402.265625"
"5668864","393.515625","393.515625","393.515625"
"5685248","401.015625","401.015625","401.015625"
"5701632","402.34375","402.34375","402.34375"
"5718016","402.1875","402.1875","402.1875"
"5734400","400.9375","400.9375","400.9375"
"5750784","401.796875","401.796875","401.796875"
"5767168","406.484375","406.484375","406.484375"
"5783552","409.609375","409.609375","409.609375"
"5799936","411.640625","411.640625","411.640625"
"5816320","418.515625","418.515625","418.515625"
"5832704","439.0625","439.0625","439.0625"
"5849088","437.8125","437.8125","437.8125"
"5865472","445.78125","445.78125","445.78125"
"5881856","448.28125","448.28125","448.28125"
"5898240","445.78125","445.78125","445.78125"
"5914624","449.6875","449.6875","449.6875"
"5931008","440","440","440"
"5947392","435.859375","435.859375","435.859375"
"5963776","443.671875","443.671875","443.671875"
"5980160","457.890625","457.890625","457.890625"
"5996544","449.53125","449.53125","449.53125"
"6012928","480","480","480"
"6029312","499.6875","499.6875","499.6875"
"6045696","512.109375","512.109375","512.109375"
"6062080","493.75","493.75","493.75"
"6078464","507.96875","507.96875","507.96875"
"6094848","510.703125","510.703125","510.703125"
"6111232","499.53125","499.53125","499.53125"
"6127616","502.34375","502.34375","502.34375"
"6144000","528.828125","528.828125","528.828125"
"6160384","521.015625","521.015625","521.015625"
"6176768","516.015625","516.015625","516.015625"
"6193152","511.875","511.875","511.875"
"6209536","506.796875","506.796875","506.796875"
"6225920","500.78125","500.78125","500.78125"
"6242304","516.328125","516.328125","516.328125"
"6258688","541.796875","541.796875","541.796875"
"6275072","538.59375","538.59375","538.59375"
"6291456","544.140625","544.140625","544.140625"
"6307840","552.109375","552.109375","552.109375"
"6324224","534.453125","534.453125","534.453125"
"6340608","501.640625","501.640625","501.640625"
"6356992","486.015625","486.015625","486.015625"
"6373376","483.515625","483.515625","483.515625"
"6389760","497.03125","497.03125","497.03125"
"6406144","508.59375","508.59375","508.59375"
"6422528","535.78125","535.78125","535.78125"
"6438912","546.015625","546.015625","546.015625"
"6455296","532.578125","532.578125","532.578125"
"6471680","522.5","522.5","522.5"
"6488064","504.53125","504.53125","504.53125"
"6504448","490.3125","490.3125","490.3125"
"6520832","483.984375","483.984375","483.984375"
"6537216","499.375","499.375","499.375"
"6553600","506.640625","506.640625","506.640625"
"6569984","503.046875","503.046875","503.046875"
"6586368","521.796875","521.796875","521.796875"
"6602752","530.078125","530.078125","530.078125"
"6619136","520.15625","520.15625","520.15625"
"6635520","526.328125","526.328125","526.328125"
"6651904","543.203125","543.203125","543.203125"
"6668288","539.609375","539.609375","539.609375"
"6684672","543.671875","543.671875","543.671875"
"6701056","548.59375","548.59375","548.59375"
"6717440","553.90625","553.90625","553.90625"
"6733824","546.5625","546.5625","546.5625"
"6750208","538.4375","538.4375","538.4375"
"6766592","526.5625","526.5625","526.5625"
"6782976","529.53125","529.53125","529.53125"
"6799360","529.765625","529.765625","529.765625"
"6815744","529.21875","529.21875","529.21875"
"6832128","560","560","560"
"6848512","569.453125","569.453125","569.453125"
"6864896","544.21875","544.21875","544.21875"
"6881280","534.375","534.375","534.375"
"6897664","542.96875","542.96875","542.96875"
"6914048","524.921875","524.921875","524.921875"
"6930432","514.140625","514.140625","514.140625"
"6946816","518.4375","518.4375","518.4375"
"6963200","539.453125","539.453125","539.453125"
"6979584","539.53125","539.53125","539.53125"
"6995968","522.8125","522.8125","522.8125"
"7012352","541.5625","541.5625","541.5625"
"7028736","544.6875","544.6875","544.6875"
"7045120","537.65625","537.65625","537.65625"
"7061504","537.421875","537.421875","537.421875"
"7077888","534.609375","534.609375","534.609375"
"7094272","525","525","525"
"7110656","535.859375","535.859375","535.859375"
"7127040","545.234375","545.234375","545.234375"
"7143424","535.234375","535.234375","535.234375"
"7159808","556.71875","556.71875","556.71875"
"7176192","564.140625","564.140625","564.140625"
"7192576","584.6875","584.6875","584.6875"
"7208960","592.8125","592.8125","592.8125"
"7225344","565.703125","565.703125","565.703125"
"7241728","572.5","572.5","572.5"
"7258112","567.03125","567.03125","567.03125"
"7274496","545.859375","545.859375","545.859375"
"7290880","543.125","543.125","543.125"
"7307264","543.984375","543.984375","543.984375"
"7323648","561.25","561.25","561.25"
"7340032","547.8125","547.8125","547.8125"
"7356416","540.3125","540.3125","540.3125"
"7372800","544.453125","544.453125","544.453125"
"7389184","531.875","531.875","531.875"
"7405568","531.953125","531.953125","531.953125"
"7421952","532.1875","532.1875","532.1875"
"7438336","539.53125","539.53125","539.53125"
"7454720","549.375","549.375","549.375"
"7471104","552.1875","552.1875","552.1875"
"7487488","550.078125","550.078125","550.078125"
"7503872","557.734375","557.734375","557.734375"
"7520256","566.40625","566.40625","566.40625"
"7536640","566.953125","566.953125","566.953125"
"7553024","564.296875","564.296875","564.296875"
"7569408","561.09375","561.09375","561.09375"
"7585792","576.953125","576.953125","576.953125"
"7602176","571.09375","571.09375","571.09375"
"7618560","564.765625","564.765625","564.765625"
"7634944","555.859375","555.859375","555.859375"
"7651328","565.9375","565.9375","565.9375"
"7667712","557.421875","557.421875","557.421875"
"7684096","539.0625","539.0625","539.0625"
"7700480","528.75","528.75","528.75"
"7716864","539.84375","539.84375","539.84375"
"7733248","524.140625","524.140625","524.140625"
"7749632","535.390625","535.390625","535.390625"
"7766016","527.890625","527.890625","527.890625"
"7782400","534.0625","534.0625","534.0625"
"7798784","520.234375","520.234375","520.234375"
"7815168","528.203125","528.203125","528.203125"
"7831552","534.296875","534.296875","534.296875"
"7847936","531.25","531.25","531.25"
"7864320","541.40625","541.40625","541.40625"
"7880704","551.328125","551.328125","551.328125"
"7897088","544.0625","544.0625","544.0625"
"7913472","544.0625","544.0625","544.0625"
"7929856","540.859375","540.859375","540.859375"
"7946240","542.65625","542.65625","542.65625"
"7962624","537.265625","537.265625","537.265625"
"7979008","538.28125","538.28125","538.28125"
"7995392","539.453125","539.453125","539.453125"
"8011776","527.1875","527.1875","527.1875"
"8028160","513.28125","513.28125","513.28125"
"8044544","512.96875","512.96875","512.96875"
"8060928","502.03125","502.03125","502.03125"
"8077312","496.25","496.25","496.25"
