"Step","Score","Alien-v5 PPO NoisyNet - charts/game_score__MIN","Alien-v5 PPO NoisyNet - charts/game_score__MAX"
"3440640","326.71875","326.71875","326.71875"
"3457024","327.734375","327.734375","327.734375"
"3473408","332.734375","332.734375","332.734375"
"3489792","331.640625","331.640625","331.640625"
"3506176","327.1875","327.1875","327.1875"
"3522560","322.578125","322.578125","322.578125"
"3538944","322.734375","322.734375","322.734375"
"3555328","323.046875","323.046875","323.046875"
"3571712","328.984375","328.984375","328.984375"
"3588096","335","335","335"
"3604480","340.9375","340.9375","340.9375"
"3620864","339.0625","339.0625","339.0625"
"3637248","342.109375","342.109375","342.109375"
"3653632","333.59375","333.59375","333.59375"
"3670016","328.125","328.125","328.125"
"3686400","328.671875","328.671875","328.671875"
"3702784","325.15625","325.15625","325.15625"
"3719168","330.703125","330.703125","330.703125"
"3735552","331.5625","331.5625","331.5625"
"3751936","330.15625","330.15625","330.15625"
"3768320","323.4375","323.4375","323.4375"
"3784704","322.5","322.5","322.5"
"3801088","327.421875","327.421875","327.421875"
"3817472","325.15625","325.15625","325.15625"
"3833856","325","325","325"
"3850240","329.21875","329.21875","329.21875"
"3866624","336.71875","336.71875","336.71875"
"3883008","343.359375","343.359375","343.359375"
"3899392","344.21875","344.21875","344.21875"
"3915776","340.78125","340.78125","340.78125"
"3932160","339.0625","339.0625","339.0625"
"3948544","337.65625","337.65625","337.65625"
"3964928","341.796875","341.796875","341.796875"
"3981312","350.3125","350.3125","350.3125"
"3997696","344.921875","344.921875","344.921875"
"4014080","340.625","340.625","340.625"
"4030464","341.171875","341.171875","341.171875"
"4046848","336.40625","336.40625","336.40625"
"4063232","335.703125","335.703125","335.703125"
"4079616","344.765625","344.765625","344.765625"
"4096000","346.328125","346.328125","346.328125"
"4112384","347.03125","347.03125","347.03125"
"4128768","346.484375","346.484375","346.484375"
"4145152","341.015625","341.015625","341.015625"
"4161536","336.640625","336.640625","336.640625"
"4177920","337.34375","337.34375","337.34375"
"4194304","337.1875","337.1875","337.1875"
"4210688","336.71875","336.71875","336.71875"
"4227072","340.46875","340.46875","340.46875"
"4243456","350.9375","350.9375","350.9375"
"4259840","350.9375","350.9375","350.9375"
"4276224","353.671875","353.671875","353.671875"
"4292608","349.84375","349.84375","349.84375"
"4308992","342.8125","342.8125","342.8125"
"4325376","344.609375","344.609375","344.609375"
"4341760","350.078125","350.078125","350.078125"
"4358144","356.09375","356.09375","356.09375"
"4374528","354.6875","354.6875","354.6875"
"4390912","346.09375","346.09375","346.09375"
"4407296","348.046875","348.046875","348.046875"
"4423680","342.65625","342.65625","342.65625"
"4440064","336.953125","336.953125","336.953125"
"4456448","342.5","342.5","342.5"
"4472832","340.234375","340.234375","340.234375"
"4489216","342.734375","342.734375","342.734375"
"4505600","345.546875","345.546875","345.546875"
"4521984","337.890625","337.890625","337.890625"
"4538368","341.71875","341.71875","341.71875"
"4554752","346.171875","346.171875","346.171875"
"4571136","337.03125","337.03125","337.03125"
"4587520","343.75","343.75","343.75"
"4603904","337.109375","337.109375","337.109375"
"4620288","343.125","343.125","343.125"
"4636672","351.875","351.875","351.875"
"4653056","344.609375","344.609375","344.609375"
"4669440","343.359375","343.359375","343.359375"
"4685824","337.109375","337.109375","337.109375"
